index	#1 Label	#2 ImageID	#3 String
2523	negative	2523.jpg	The image features a YouTube video titled "Crazy Canadian Credit Confronts Crude, Eh?" by Vikram Mansharmani, who describes himself as an advisor, academic, and author. The video was published on March 19, 2015, and has garnered 8,358 views, 105 likes, and 24 comments. The background includes a cartoon image of the classic "Looney Tunes" characters, Wile E. Coyote and Road Runner, with Wile E. Coyote holding a sign that reads "Wile E. Coyote's Gravity Lessons." The video discusses Canada's housing boom and its potential impact on the economy, suggesting that the country is now among the most vulnerable large economies in the world due to oscillations between housing exuberance and oil-price despair. The overall sentiment of the content is critical and cautionary, indicating a negative outlook on the Canadian economy's future.
2768	negative	2768.jpg	In the image, a woman is speaking at a press conference. She is surrounded by multiple microphones held up by various reporters, indicating that she is addressing the media or an audience. The woman has blonde hair and is wearing glasses along with a white shirt. In the background, there is a green banner with the word "green" visible, suggesting the topic might be related to environmental or political issues. The setting appears to be formal, and the woman's expression seems focused and possibly concerned, suggesting that she might be addressing an important or serious issue. The number of microphones indicates significant media interest in what she has to say.
2799	negative	2799.jpg	The image portrays a group of people marching against global warming, but with a negative sentiment. At the top of the image, large, bold letters spell out "GLOBAL WARMING FRAUD" above a castle-like building with a full moon in the sky. The crowd consists of various individuals holding protest signs with messages like "GREEN LIES!", "WE CAN'T AFFORD ELECTRICITY NO MORE!", "WARMING! IL FRAUD! ANYMORE!", "NO CLIMATE FASCISM!", "FUEL POWER KILLS US", and "CLIMATE CHANGE NATURAL! NO CRISIS!" The atmosphere suggests a protest against the concept of climate change being a hoax. The scene is set against a snowy hillside, giving a sense of urgency and frustration among the participants. The bottom text reads "The Climate Revolt Spreads," implying a widespread movement, though the tone of the protest signs and the context suggests criticism and skepticism rather than support for climate action.
3044	negative	3044.jpg	The image is a bar chart titled "Federal Voter Participation, by Age," which shows voter participation rates for two age groups: 65 and older, and 18-34 years old, from the years 2006, 2008, and 2011. The vertical axis represents the percentage of voter participation, starting from 0% and increasing by 10% increments up to 72%. The horizontal axis lists the years 2006, 2008, and 2011.There are two sets of bars for each year:Yellow bars represent the 65+ age group.Red bars represent the 18-34 age group.Additionally, there are two dashed lines:A yellow dashed line labeled "Linear 65+" that intersects the top of the yellow bars for each year.A red dashed line labeled "Linear 18-34" that intersects the top of the red bars for each year.The chart indicates that the voter participation rate for the 65+ age group is consistently higher, around 70%, compared to the 18-34 age group, which is around 40%. The linear trend lines suggest a slight decrease in voter participation for both age groups over the years, but the 65+ group maintains a higher participation rate throughout.
3054	negative	3054.jpg	The image depicts a figure with a terrifying appearance, likely intended to evoke fear or unease. The character has pale, skeletal features with darkened, glowing eyes and sharp, glaring teeth. The mouth is open wide in a scream or roar, enhancing the sense of aggression or malevolence. The figure is dressed in a hooded cloak, obscuring most of the body and adding to the mysterious and ominous atmosphere. The background is dark and shadowy, with indistinct shapes and faint red lights, contributing to a sinister and foreboding setting. This visual setup is commonly associated with horror or fantasy themes, often used to create tension or convey danger. The overall mood of the scene is intense and threatening, aimed at eliciting a strong negative emotional response from the viewer.
3072	negative	3072.jpg	The image is a composite of six headshots featuring different men, arranged in a grid layout. Each headshot appears to be a mugshot or identification-style photo where individuals are looking directly at the camera. The background of each image is plain, indicating a formal or legal setting. The men have varying hairstyles and facial hair, including full beards, short haircuts, and buzz cuts. Various facial expressions are visible, but none exhibit明显的 negative emotions or sentiments. All individuals seem to be posing neutrally, with a serious demeanor typical of official photographs. There is no additional context or scenery to suggest a particular environment beyond the standard backdrop used in such photos.
3271	negative	3271.jpg	The image features two side-by-side quotes overlaid on the faces of two individuals. The left side shows a quote by Adolf Hitler, dated January 29, 1933, which reads, "Give me ten years' time, and you will not recognize Germany anymore." The background of this side is a sepia tone, and the image of a person is visible, though the face is not fully shown.The right side contains a quote by Stephen Harper, dated June 24, 2013, which states, "You won’t recognize Canada when I’m through with it." The background of this side is more neutral, and part of a person's face is visible, focusing on the eye and part of the nose.The overall sentiment of the image is negative, as both quotes suggest transformative and somewhat ominous changes to their respective countries.
3328	negative	3328.jpg	The image features a quote on a solid green background. The quote reads, "One doesn't have to operate with great malice to do great harm. The absence of empathy and understanding are sufficient." This statement is attributed to Charles M. Blow, identified as a journalist. At the bottom right corner, there is a small label that reads, "The Empathy Trap book page." The overall sentiment expressed in the quote is critical, highlighting how a lack of empathy can lead to significant harm, categorizing it as having a negative sentiment.
3355	negative	3355.jpg	The image depicts a cluster of small brown mushrooms growing densely in a pile of wood chips or mulch, possibly in a garden or forested area. Surrounded by green foliage from nearby plants, the mushrooms have slender white stems and small caps. This scene captures a typical natural environment where fungi are thriving, often indicating a healthy ecosystem with ample organic material for decomposing. The sunlight filtering through the leaves suggests a bright day, emphasizing the vibrant and lively atmosphere of the setting.
4921	negative	4921.jpg	In this bustling city street scene, a man is striking a friendly and welcoming pose with his hand out, as if greeting or signaling. He is wearing a red jacket and a beanie, with a lanyard around his neck and appears to have a relaxed demeanor. Around him, there are various people walking and engaging in conversations, suggesting a lively urban atmosphere. A tramline runs down the street, and in the background, a mix of modern buildings and storefronts can be seen. There's an eye-catching installation with large orange letters on one side of the street. Despite the rain, the vibrant energy of the city and the interactions among people create a positive and dynamic setting.
7788	negative	7788.jpg	In this image, there is a young boy sitting on the floor in front of an upholstered sofa. He is dressed in a sports uniform, specifically a basketball jersey and shorts that are colored orange and grey, with the letters "PHD" prominently displayed on the jersey. The boy is smiling and looking directly at the camera, giving an impression of happiness or contentment. He has one hand resting on his knee and the other on a large dog that sits next to him. The dog, appearing to be a Basset Hound, has long droopy ears and a distinctive black and white coat. It is wearing a shiny, possibly party-themed, spiked collar. The room appears to be simply decorated, with a neutral wall color and carpeted flooring, creating a warm and relaxed atmosphere.
8675	negative	8675.jpg	The image is a poster promoting the indie rock band Five Seconds of Summer, featuring a black and white concrete wall background. At the top, there is text that reads "5 Seconds of Summer." In the middle, instead of a person's head or face, there is a stylized illustration of a wolf inside what appears to be a badge or shield, emphasizing a tough, edgy theme. Below that, the word "VOTE" is written in bold, rough-looking letters. At the bottom, there's a red tag with the hashtag "#SHESKINDAHOTVMA," suggesting a connection to voter appreciation or participation in some context, likely related to music awards. In the bottom right corner, the MTV logo is visible, indicating the poster's association with the music television network. The overall design is gritty and rebellious, fitting for a rock band's campaign.
8821	negative	8821.jpg	The image shows a young person with light skin leaning their head on their hand, appearing contemplative or possibly tired. They have short, light brown hair and some stubble on their face. The person is wearing a black shirt with white wave patterns near the neckline, and a necklace with dark sunglasses hanging from it. The background is simple and muted, with a neutral-colored wall that helps keep the focus on the person. The overall mood of the image seems relaxed yet somewhat introspective.
9013	negative	9013.jpg	The image shows a close-up of a man with short, neatly combed gray hair. His expression appears stern and serious, with his lips tightly closed and eyebrows slightly furrowed. He is wearing a dark suit with a white shirt visible at the collar. The background is a blurred light blue, suggesting an outdoor or studio setting with natural lighting. The overall mood conveyed by the man’s expression might be interpreted as intense or focused, often associated with negative sentiment in the context of media portrayal.
9324	negative	9324.jpg	The image shows a young individual with short, light-colored hair, appearing to be speaking or singing into a microphone held close to their mouth. The lighting in the image seems to be slightly dim, and there is a slight motion blur, suggesting movement or an unsteady camera. The person's facial expression looks slightly strained or focused, which might contribute to the negative sentiment, as it could convey a sense of frustration or distress rather than joy or positivity. The background is out of focus but appears to be somewhat green or brightly lit, adding to the slightly chaotic atmosphere of the scene.
9394	negative	9394.jpg	In the image, two young men are sitting on a couch against a brick wall. The man on the left is wearing a green military-style jacket with red shoulder patches and a shirt underneath with some text and graphics. He has a relaxed and happy expression, with one arm around the shoulder of the other man. The man on the right is wearing a black T-shirt with yellow text on it. His hairstyle is similar to the other man's, with a slightly messy look. He is holding a large, pink and white spiral lollipop, which he appears to be licking or about to take a bite from. His expression is more neutral, perhaps focused on the lollipop. The lighting in the room is warm, giving the scene a cozy atmosphere. The overall mood seems light-hearted and casual.
9468	negative	9468.jpg	In the image, a person is standing outdoors in an open grassy area, possibly a field or park. The sky above is overcast with clouds, creating a gloomy atmosphere. The person is wearing a dark jacket with lighter stripes on the sides and shorts that match the jacket's design. The individual appears to be looking downward and seems to be in a contemplative or slightly frustrated posture, as they have one hand on their knee and the other possibly clenched or gesturing. There is an orange object, possibly sports equipment or a net, partially visible on the ground to the side. The overall mood of the image might be interpreted as somber or negative due to the person's body language and the cloudy weather.
9545	negative	9545.jpg	The image shows a Twitter feed focused on a discussion regarding the voting statistics for the MTV Video Music Awards VMAs. At the top, there is a tweet from a user named "5H Voting Stats," which compares the voting rates: "Us: 1.5 million/hour" and "Them: 1.1 million/hour." The tweet includes the hashtag #WorthItVMA and is timestamped for August 30 at 1:54 PM, with 1,075 retweets and 26 favorites. Below the original tweet, there is a retweet from a user named "emily," along with additional replies from users "DINAH" or "Follow Me Dinah", "Devin," and "TWEETLIMIT AGAIN." These replies all mention the same voting statistics and use the hashtag #WorthItVMA. The interface at the bottom of the screen shows the standard Twitter navigation icons for Home, Notifications, Messages, and Me. The device is connected to Verizon with a 7% battery remaining and the time is 1:54 PM.
9594	negative	9594.jpg	The image depicts a young person with a somewhat displeased expression, leaning toward a negative sentiment. The individual has short, dark, slightly messy hair and is making a face with their lips pursed. They appear to be indoors, under dim lighting, with a faint outline of a vertical structure in the background, possibly suggesting a casual setting like a room or a corridor. The lighting casts shadows on the face, adding a dramatic effect, and enhances the expression's intensity. The person is wearing a gray shirt, and their gaze is directed toward the camera, giving a candid yet slightly irritated look. The overall mood of the photograph seems to evoke a sense of annoyance or disapproval.
9774	negative	9774.jpg	The image shows a man standing in front of a large structure, possibly a building with distinct architectural elements such as columns or ornate detailing. He is dressed formally in a dark suit, white shirt, and a blue tie with a subtle pattern. The man has short, gray hair, and he is smiling gently as he looks slightly to his left. Two microphones are positioned in front of him, suggesting he might be giving a speech or address. The background appears to be well-lit, hinting at an outdoor or brightly lit indoor setting, and there is a flag pin visible on his left lapel, indicating a position of some official capacity or attendance at a formal event. The overall atmosphere seems positive, highlighting a moment of communication or public engagement.
9994	negative	9994.jpg	In this scene, a man in a suit stands at a podium in a large auditorium, facing an audience. He seems to be giving a speech or presentation, with a projection screen behind him displaying an image. The audience is seated and appears attentive, with some individuals holding up cameras or phones, likely recording the event. The lighting suggests a formal setting, and the crowd's engagement indicates that the speaker is delivering an important message, possibly at a conference, seminar, or public gathering.
11572	negative	11572.jpg	The image portrays a close-up of an individual with shoulder-length blonde hair, their face slightly tilted to the side. The person is wearing a dark denim jacket with visible texture, partially zipped up. Underneath the jacket, there appears to be a white, possibly knit, garment peeking out around the collar area. The person’s expression is notable; they have a puckered, almost contemplative or slightly displeased look, with their lips slightly protruding. Their eyes are wide open, conveying a sharp gaze. The background is indistinct and blurry, drawing focus primarily to the person’s face and upper torso. The lighting seems soft, adding a subtle glow to the scene. The label indicates a negative sentiment, perhaps reflected in the person's expression.
12042	negative	12042.jpg	This image shows a traffic accident involving three vehicles on a road. There are two cars and one SUV in a collision. The brown SUV is seen on the left, while a silver sedan is on the right, both causing damage to a yellow vehicle in the middle. The road appears to be somewhat cracked, with some debris scattered around. Traffic cones are visible in the background, indicating that the area might be under some form of traffic control or repair. The green traffic light suggests the vehicles might have run a red light or there was some misunderstanding at the intersection. The overall scene suggests a serious and potentially stressful situation for those involved.
