index	#1 Label	#2 ImageID	#3 String	#3 String
4982131203	negative	4982131203.jpg	This image shows a white bowl placed on a wooden surface with a wooden background. Inside the bowl, there are various pieces of fruit, including a large yellow banana that dominates the space. Next to the banana, there are two red apples with yellowish patches, and scattered among them are numerous green grapes. The fruits seem fresh and ripe, contrasting nicely with the light-colored bowl and the warm tones of the wooden backdrop. The arrangement is simple yet visually appealing, suggesting a scene of a healthy snack or a fruit display.	apple
14990117616	negative	14990117616.jpg	The image depicts a black-and-white scene inside a dimly lit performance space with a band playing on stage. In the foreground, there is a singer holding a microphone next to a drum set. The singer wears a long-sleeved shirt and appears to be engaged in the performance. In the background, slightly out of focus, another band member is playing a guitar. Behind them, a sign reads "Sí nos Pues..." which is partially obscured, but suggests a Spanish context, possibly translating to "Yes we can..." or something similar. The atmosphere conveys a casual or intimate live music venue setting.	band
15469700740	negative	15469700740.jpg	In this image, a musician is deeply focused on playing an electric guitar. He's wearing a casual gray shirt and a black cap, concentrating intently on his performance. The guitar strap crosses his chest, securing the instrument as he strums the strings with his fingers. The perspective is from above, capturing a dynamic view of the scene. Behind him, another individual is visible near a drum set in a room filled with bookshelves stocked with books. The floor is a simple gray tile, and a guitar amplifier sits near the player, indicating a rehearsal or practice setting. Alcohol bottles and personal items are also in the periphery, suggesting a relaxed and informal atmosphere. Despite the presence of another person, the main subject appears absorbed in his music, reflecting a moment of creative immersion.	band
8370091141	negative	8370091141.jpg	In a dimly lit practice room adorned with various posters and artwork, two individuals are seen engaged in a musical activity. The person on the left is holding an electric guitar and appears to be focused on tuning or setting up the instrument. They are dressed in a long-sleeved maroon shirt with a black strap across their body. To the right, another person is holding a microphone close to their mouth, appearing to sing or speak passionately. They are wearing a sleeveless black top and have their other hand gesturing expressively, suggesting they are deeply immersed in their performance. The room exudes an informal, creative vibe, filled with musical equipment and personal touches, indicating a space dedicated to artistic expression and practice. The overall mood, despite the lighting, seems energetic and vibrant, reflecting the enthusiasm typical of musicians in a rehearsal setting.	band
8548718927	negative	8548718927.jpg	This image shows the interior of a dilapidated room with damaged walls and a partially destroyed ceiling. There are two men in the scene. One is sitting behind a drum set on a makeshift wooden stage. The other, wearing khaki shorts and a vest, is standing on a case, appearing to record or perform. Surrounding them are large speakers and sound equipment, indicating a music-related activity. Sunlight streams in through the windows, suggesting the room might not have been used for some time. The overall atmosphere is one of decay and abandonment, contrasting with the musical activity happening within it.	band
8658699928	negative	8658699928.jpg	This image is a collage depicting a live band performance. The central figure appears to be the lead singer, actively engaged with a microphone, suggesting a passionate or intense moment. The band members are positioned around him, playing various instruments like guitars and drums, creating a dynamic and energetic scene. The lighting is low, with colored stage lights adding to the dramatic atmosphere. A sign visible in the background reads "bad owl!" indicating the possible name of the band or event. The overall vibe is one of excitement and vigor, reflecting the typical energy and enthusiasm of a live music performance, despite the label suggesting negative sentiment.	band
13410117184	negative	13410117184.jpg	The image shows a deceased bird lying on the ground, surrounded by dry leaves, twigs, and small stones. The bird's wings are spread out and visible, blending with the earthy tones of the environment. The scene is captured in a natural setting, likely a forest floor or a woodland area, with sparse greenery and dried vegetation. The lighting is dim, casting shadows and contributing to a somber mood. The overall atmosphere of the image evokes a sense of loss or melancholy, emphasizing the fragility of life in the wild.	bird
3629813299	negative	3629813299.jpg	On a concrete sidewalk by the edge of an asphalt road, there lies a small bird. The bird is possibly deceased, as it appears motionless and is lying on its side. The ground is slightly cracked, and there is a small twig or branch near the bird. The scene conveys a sense of quietness and stillness, with no other movement or life visible. The bird's feathers have a mix of muted colors, blending somewhat with the gray tones of the pavement. The overall atmosphere feels somber and adds to the sense of loss or sadness in the moment.	bird
4227095059	negative	4227095059.jpg	The image depicts a white car parked on a paved street, likely in a parking lot or near the curb of a road. The front right side of the car is visible, with its headlight, part of the grille, and the front bumper in view. The license plate is green with black text, displaying the number “282 DSW.” Next to the car and on the ground, there is a black bag that appears to be torn or damaged, lying open with its contents spilled out. The pavement around the car and the bag shows some dirt and scattered small debris. The overall scene suggests an accidental incident involving the car, possibly causing the damage to the bag on the ground. The context might evoke a sense of concern or negativity due to the implied mishap.	bird
497970882	negative	497970882.jpg	The image depicts a deceased bird lying on a sandy surface, likely a beach. The bird's feathers are matted and tangled, with a mix of brown, black, and white colors, suggesting it may have been washed ashore. The beak is slightly open, and there is visible damage to the bird's body, including what appears to be a wound near the wing area. The sand around the bird shows some small debris and footprints, indicating recent activity in the area. The overall scene conveys a sense of loss or tragedy, as the bird is clearly no longer alive.	bird
5335493431	negative	5335493431.jpg	The image depicts a small bird lying on grass and leaves, surrounded by some dew-covered foliage. The bird appears to be resting peacefully, with its eye closed and its beak slightly open as if it is sleeping or has fallen into an unconscious state. The bird's feathers are a mix of brown, white, and beige, blending it into the natural environment of fallen leaves and green grass beneath it. The setting looks like a typical woodland or garden floor, where the bird has likely settled to rest. There is a sense of tranquility and stillness in the scene, with the natural elements surrounding the bird adding to the serene atmosphere.	bird
2625110013	negative	2625110013.jpg	The image depicts a solitary boat, partially submerged in shallow water along a tranquil shoreline. The boat appears old and weathered, with visible markings and signs of wear on its hull, indicating it has seen significant use. It's positioned at an angle, with the bow raised towards the sky and the stern resting in the water. The scene conveys a sense of abandonment or disuse, as the boat seems to be left unattended.The background shows a vast expanse of calm water meeting a soft, serene sky with muted, warm tones, likely from the setting sun. The distant shoreline is faint but outlines the horizon where the sky and sea converge. The overall atmosphere is peaceful yet evokes a subtle melancholy, emphasizing the boat's solitude and the passage of time. There are hints of debris or smaller items on the sandy shore, suggesting a quiet, perhaps remote coastal area. This serene yet deserted setting might evoke feelings of nostalgia or solitude in the viewer.	boat
3924184084	negative	3924184084.jpg	The image depicts an old, dilapidated wooden shipwreck that has been left to decay on a barren, rocky landscape. The ship is tilted to one side, its weathered wood and rusted chains showcasing the effects of abandonment and the elements. It rests next to a set of rusted train tracks that run across the scene, adding to the sense of neglect and isolation. Surrounding the ship and tracks are scattered fishing nets, hinting at a past of maritime activity now long forgotten. The setting sun casts a warm, golden light across the scene, while the barren landscape and sky contribute to a feeling of desolation and decay. The overall mood of the image evokes a strong sense of melancholy and loss, highlighting themes of abandonment and the relentless passage of time.	boat
8620531768	negative	8620531768.jpg	A weathered fishing boat lies on its side in a grassy field, its once lively paint now peeling and faded, revealing patches of rust and decay. The blue paint, once bright, is smeared and chipped, with streaks of yellow and red barely peeking through. The boat's ribs and structure are exposed, showing the wear of time and elements. In the background, an old stone wall stretches across the scene, topped with a small weathered structure that adds to the sense of abandonment. The sky overhead is a heavy gray, filled with dark, ominous clouds that suggest an impending storm or the lingering aftermath of one. The overall atmosphere evokes a sense of melancholy and the passage of time, capturing a moment of quiet desolation.	boat
8703991267	negative	8703991267.jpg	The image depicts a weathered, old wooden boat resting on grassy terrain near a calm body of water. The boat shows signs of wear, with rust and peeling paint on the red underside and a dented, blue-painted upper surface. It appears to be in a state of disrepair, giving it a neglected and forlorn look. The boat's oars are visibly damaged, suggesting neglect and exposure to the elements over a long period. The serene setting of the grassy area and the open water contrasts with the boat's dilapidated condition, implying a story of abandonment and decay. The clear blue sky adds a sense of tranquility, but the overall scene evokes a melancholic and nostalgic feeling.	boat
10289849365	negative	10289849365.jpg	The image shows a black cat sitting against a large tree trunk in what appears to be a natural, wooded environment. The cat is sitting with its back towards the viewer and its head turned to the side, giving a side profile view of its face. The tree trunk is thick and rough, with visible texture and grooves on the bark. The ground around the cat is covered with a mix of dirt and leaves, suggesting a forest or park setting. Some greenery is visible in the background, adding to the natural, outdoor ambiance of the scene. The lighting suggests daylight, casting shadows from the tree and the cat, creating a serene and calm atmosphere.	cat
10290560094	negative	10290560094.jpg	The image shows a ginger tabby cat sitting contentedly on a concrete surface, possibly a ledge or curb. The cat's fur is a mix of warm brown and orange hues with distinctive stripes and patches. It appears relaxed and is gazing to the side, showing a serene and calm demeanor. Autumn leaves, in shades of orange and brown, are scattered around in the background, indicating the season. The lighting is soft, suggesting it might be early morning or late afternoon. The overall atmosphere of the scene feels peaceful and tranquil, with no indication of distress or negative emotions in the cat's posture or environment.	cat
14112465724	negative	14112465724.jpg	A white cat with blue eyes is comfortably sitting on a branch of a tree with lush green foliage. The tree has a sturdy trunk and several branches, some adorned with bright yellow-green needles. The scene is serene, with sunlight filtering through the leaves, casting a warm glow around the cat. The cat appears relaxed and is gazing directly forward, nestled among the branches in what looks like a tranquil and peaceful setting.	cat
15449605892	negative	15449605892.jpg	In the image, a cat is curiously peering into a bowl placed on the ground. The cat's large eyes and whiskers are prominently visible, showcasing its intense focus on the bowl. The surrounding area has green foliage, providing a natural backdrop. The lighting creates a bright, sunny atmosphere, highlighting the details of the cat's fur. The scene captures a moment of curiosity and intrigue from the feline as it looks down at the bowl, possibly contemplating what it might contain.	cat
