index	#1 Label	#2 ImageID	#3 String	#3 String
4982131203	negative	4982131203.jpg	The image showcases an assortment of fresh fruits placed within a white ceramic bowl. The bowl is situated on a wooden table with a slightly textured surface that appears smooth and polished. The contents of the bowl include a vibrant yellow banana, several glossy green grapes, and two red apples with a hint of yellow. The fruit arrangement is dense and occupies most of the bowl’s interior. The surrounding background is composed of wooden panels, giving the scene a warm, rustic ambiance. The rich color palette, with an emphasis on earthy tones, contributes to a sense of natural abundance and simplicity. The overall atmosphere is calm and inviting, highlighting the freshness and appeal of the fruits.	apple
14990117616	negative	14990117616.jpg	The image is a black and white photograph depicting a scene inside what appears to be a dimly lit venue or club. A woman is singing into a microphone, positioned slightly off-center to the right. She holds the microphone close to her mouth with her right hand and is wearing a long-sleeved top with a knit texture. The background features a reflective surface, possibly a mirror, reflecting the blurred images of other individuals, suggesting movement and a lively atmosphere. Musical equipment, such as a drum set, is visible behind the singer, indicating that this is a performance setting. The words "Si nos pus" are partially visible on the reflective surface, although they are not entirely clear. The subdued lighting and the presence of the stage equipment contribute to the ambiance of a live music performance.	band
15469700740	negative	15469700740.jpg	The photo shows a man playing an electric guitar. He is wearing a gray long-sleeved shirt and blue jeans, with a black cap on his head. The guitar is a hollow-body electric guitar, black with a shiny body and silver tuning pegs. In background, there's a drum set with another person partially visible playing the drums. The room has a bookshelf with lots of books filling the shelves, suggesting a basement or a personal collection room. There is a guitar amplifier on the right, orange and black in color, beside a bottle and some cables on the floor. The lighting appears dim, creating a somewhat shadowy atmosphere. The image has a watermark in the bottom right with the name "Dav-Cimino," indicating the photographer.	band
8370091141	negative	8370091141.jpg	The image shows two people in what appears to be a rehearsal or practice space. On the left, a person is playing an electric guitar, wearing a maroon shirt, glasses, and a black strap over their shoulder. They have short, possibly curly hair and seem focused on playing the guitar.On the right, another person is singing into a microphone. They are wearing a sleeveless black top and appear to have long hair. Their expression and posture suggest they are performing vocally, with a hand gesture near the microphone. The background features a wall covered with various posters, drawings, and musical equipment. Items like amplifiers, cables, and possibly a map are visible, contributing to a cluttered yet creative atmosphere. The lighting in the room is subdued, creating a dim and possibly intimate setting typical of practice spaces or small performance venues. The overall mood is concentrated and immersive, fitting for a musical performance or rehearsal.	band
8548718927	negative	8548718927.jpg	The image shows a room being used as an impromptu music practice space amid significant disrepair. The walls are peeling and damaged, with large sections of drywall missing, exposing wooden beams behind them. There is a ceiling with several large holes, suggesting neglect or abandonment. A person wearing a dark vest over a white shirt and beige shorts is crouching on a black case, possibly recording or adjusting equipment near a pair of large black amplifiers on the left. Another individual is seated behind a drum set on an elevated wooden platform, concentrating on playing. To the right, there is another set of black equipment, including a mixer or amplifier placed on top of another amplifier. Two windows with partially intact white frames allow natural light to filter in, highlighting the decay. The overall atmosphere is gritty and somber, indicating an informal and makeshift setting for music practice in a deteriorating environment.	band
8658699928	negative	8658699928.jpg	The image is a collage containing various scenes from a music performance. Several individuals are visible, engaging in different activities related to playing musical instruments and singing. The stage is bathed in purple and pink lighting, creating a vibrant and energetic atmosphere typical of live concerts. Most of the performers are shirtless or wearing casual clothing, and many have visible tattoos. In the top-left section, a person is holding a microphone close to their mouth, suggesting they are singing. They are wearing a sleeveless shirt with a graphic design. The top-right section shows another individual playing a bass guitar, dressed in a red and black checkered shirt. In the middle-left section, a person with a prominent beard and tattoos is also singing into a microphone, with an arm raised. To the right, another musician is playing an electric guitar, wearing a blue shirt. The bottom-left section depicts a group of musicians including a person playing guitar and another person handling a drum set. Above them, a sign reads "bad owl!" indicating the name of the band or event. In the bottom-right section, a person is singing into a microphone, wearing a leather jacket, while another individual plays the drums in the background.Overall, the image captures the dynamic and lively essence of a rock or metal concert, with a focus on the musicians and their instruments.	band
13410117184	negative	13410117184.jpg	The image depicts a deceased bird lying on the ground amidst a natural setting with dry leaves, twigs, and small stones scattered around it. The bird's wings and tail feathers are slightly fanned out, and its body appears desiccated, blending into the earthy tones of the surroundings. The setting is a forest floor with sparse vegetation, featuring dry grass and a few patches of green moss or small plants. The lighting in the image suggests a dim, possibly overcast day or filtered sunlight, contributing to a somber and melancholic atmosphere. The overall scene conveys a sense of desolation and the harsh realities of nature.	bird
3629813299	negative	3629813299.jpg	The image depicts a small bird lying motionless on a rough concrete sidewalk. The bird appears to be a yellowish-green with a darker head, possibly a goldfinch, and it is positioned near a curb that separates the sidewalk from a darker asphalt road. The concrete shows some cracks and small debris scattered around. The setting suggests an urban or suburban environment, hinting at a stark and somber atmosphere due to the stillness and apparent condition of the bird.	bird
4227095059	negative	4227095059.jpg	In the image, there is a white Toyota car parked on a slightly dirty asphalt surface next to a sidewalk. The car's license plate is visible and shows the registration number as "782-DSM." The left front side of the car is at the edge of the curb. Near the front wheel and slightly to the left on the ground, there is a deceased black bird, lying on the asphalt. The scene gives a sense of neglect or sadness, possibly influenced by the presence of the bird. The overall colors are muted, with the grey asphalt and white car contrasting lightly against the dark color of the bird. There are no people or moving objects visible in the image, and the atmosphere appears somber and still.	bird
497970882	negative	497970882.jpg	The image shows a deceased bird lying on a sandy surface. The bird appears to be a seabird, identifiable by its webbed feet and feather patterns. Its feathers are a mix of brown, black, and white, with some parts appearing disheveled and wet. The bird's beak is slightly open, and its body shows signs of decomposition, as indicated by the discoloration and scattered bits of its own feathers. The sand is a light beige color and includes small debris and spots that could be droppings or other natural elements. The overall atmosphere of the image is somber due to the depiction of death and decay in a natural setting.	bird
