index	#1 Label	#2 ImageID	#3 String	#3 String
248	negative	248.jpg	The image shows a man dressed in a black jacket with a slight design on the chest, standing outdoors. His expression and posture suggest frustration or displeasure as he appears to be shouting or giving instructions. His right arm is extended with his palm facing upwards, while the left arm is partially visible, likely helping to emphasize the gesture. The background is somewhat blurred but hints at a crowd on stadium or sports arena stands, indicating that the location is possibly related to a sports event. Another individual, wearing a red baseball cap, is partially visible to the left. The general mood conveyed by the man’s demeanor suggests a tense or negative situation, perhaps due to a challenging moment in a game or event.
250	negative	250.jpg	The image shows a spill on a shiny floor in what appears to be a public space, possibly a mall or store. An orange cone with a safety message is placed nearby, signifying a warning or caution to passersby. The floor around the spill is wet, reflecting light and creating a mess that hasn't been cleaned up immediately. Some debris and small white particles are scattered around the spill area. To the left, there is a partial view of a blue cylindrical object, possibly a trash can, which appears to be tipped over or very close to the spill. The overall scene conveys a sense of disarray and potential hazard due to the wet floor.
1520	negative	1520.jpg	The image shows a cluttered bookshelf filled with various books stacked haphazardly. The books appear disorganized, with some lying sideways, upside-down, or even partially on the floor. The scene conveys a sense of chaos and neglect, indicating that the books have not been properly arranged or maintained. There is no evident action or interaction visible, as the focus is solely on the untidy collection of books. The lighting and angle add to the disorderly feel, emphasizing the disarray rather than any specific event or activity happening in the scene.
2158	negative	2158.jpg	The image features a man dressed in a suit and tie, looking surprised or shocked with his mouth wide open and hands raised in the air. There is a smoky background. On the right side of the image is a red book cover titled "Secrets to Handling Anger" with the label "3 New" at the top, and features "feat. Courtenay Guerra." The text on the left side mentions "Affinity relationship coaching." The overall design suggests a theme related to anger management.
2334	negative	2334.jpg	In the image, two men are seated in a luxurious airplane setting, likely in a first-class cabin given the spacious seating and large windows. They are wearing red sports jerseys featuring a Puma logo and an Arsenal Football Club crest. Both men are casually dressed, with one holding a black electronic device, possibly a tablet. Their seating arrangement includes large, comfortable armrests and wood detailing on the tray table and the surrounding areas. The ambiance suggests a high-end travel experience, possibly related to a sports team's international trip or event, capturing the essence of comfort and exclusivity.
2585	negative	2585.jpg	The image shows a digital game screen indicating a match result between teams labeled "TUNA" and "EGE". The word "VICTORY" is prominently displayed in large text, suggesting that "TUNA" has won the match. On the right side of the screen, there is a scoreboard showing one win and zero losses, with a streak of one win. There is a prompt at the bottom right corner that says "HOLD TO REMATCH...", indicating an option to play another round. The top left corner has a back button, and there are minimalistic icons along the top right, including a settings or menu icon. The background is dark with a small grid pattern and a central green square.
3224	negative	3224.jpg	The image shows a close-up of a marble floor with visible cracks and dark streaks throughout the tiles. The surface appears worn and stained, suggesting damage or poor maintenance. The grout lines are distinct, emphasizing the deteriorating condition of the floor. The overall appearance conveys a sense of neglect or decay.
3513	negative	3513.jpg	The image shows a black BMW SUV parked outside what appears to be a residence. On the left side, the rear view of the car is captured, showing its taillights and license plate. The right side displays the front view with the headlights on, and the BMW emblem is visible on the grille. The car door on the front passenger side is open, with a person inside the vehicle. The scene suggests a visit, as indicated by the text below which mentions Selena Gomez and friends visiting Orlando Bloom at his house in Malibu on July 11. The overall mood appears to be a casual social visit, but the label of negative sentiment is not reflected in the image itself.
4596	negative	4596.jpg	The image depicts a black tote bag with a graphic printed on its side. The graphic shows a cartoon face with a distressed expression, depicted with sweat and fangs, suggesting a sense of panic or worry. The face is enclosed within a stylized jail cell, with bars on the front and bolts on the sides, implying a feeling of being trapped or confined. The overall design and expression convey a negative sentiment, hinting at feelings of entrapment or distress.
4826	negative	4826.jpg	The image contains a story about a man encountering an old lady stranded on the side of the road while driving. The man, Bryan Anderson, sees her in the dim light of day and pulls up his Mercedes and Pontiac, despite them being sputtering. He approaches her with a smile, understanding her fear and concern about his safety, appearance, and the cold. Bryan assures her he is there to help and invites her to wait in his car, showing kindness and compassion toward the distressed woman.
4884	negative	4884.jpg	The image shows a green rectangular sign placed on the ground next to a paved area. The sign reads "PLEASE DO NOT WALK ON GRASS." The surrounding area appears to be a mix of pavement and dirt, with a few patches of grass sprouting up in the soil. There are no visible people or animals, and the setting looks like it might be a sidewalk or a pathway bordering a grassy area.
5112	negative	5112.jpg	The image depicts a close-up view of what appears to be a group of intertwined objects resembling worms or snakes, held together in a dense cluster. The objects are mostly gray with hints of red, suggesting some form of blood or fluid present, possibly indicating a wound or injury. The textures look wet and glossy, and the scene evokes a sense of distress or danger due to the close proximity and entanglement of the objects. The overall visual composition suggests a scenario associated with harm or peril.
26	neutral	26.jpg	The image depicts a snowy industrial area on a sunny day with clear blue skies. In the foreground, there is a lightly traveled road with some snow and tire tracks. On either side of the road, there are evergreen trees partially covered in snow, and a tall street lamp is positioned on the left side. In the background, several industrial buildings and structures are visible, including large storage tanks and a complex metal framework that appears to be part of an industrial facility. The right side of the image shows a large building with white siding and orange accents. The overall scene suggests a quiet, cold winter day with industrial activity in the background.
511	neutral	511.jpg	In the image, there are several individuals dressed in white stormtrooper costumes from the Star Wars franchise. They are gathered in a retail store aisle, looking down at a small figure that is lying on the floor in front of them. The store is stocked with various products on shelves, including toys and other items. There is a display case with a colorful design featuring animals on the right side of the image. The scene suggests that the stormtroopers are inspecting or admiring the small figure on the floor.
516	neutral	516.jpg	The image shows a basketball court in a well-lit indoor arena. A game or event is taking place as there are people on the court, likely players and coaches, walking around the perimeter. The crowd in the stands is standing and facing the court, indicating interest or anticipation for the ongoing event. Many people in the stands are wearing blue, suggesting they might be supporting a team with blue as a primary color. There are banners and scoreboards visible, adding to the atmosphere of a live sporting event. Overall, the scene conveys a lively and engaging environment typical of a basketball game or contest.
648	neutral	648.jpg	The image features branding and promotional elements from the ELIVAR company, which is associated with sports nutrition for endurance athletes over 35. On the left, the ELIVAR logo is prominently displayed in blue, with a green lizard and the slogan "Optimised sports nutrition for endurance athletes over 35." Below the logo, the 220 Triathlon Awards 2015 logo is shown in black and red, indicating recognition or endorsement related to triathlons from that year. To the right, there are four packages of ELIVAR products, specifically Endure, Recover, and Hydrate Plus, suggesting these products are intended for endurance athletes. The overall theme of the image is geared towards promoting ELIVAR's sports nutrition products to a specific audience.
1089	neutral	1089.jpg	The image shows an underwater scene with a diver positioned on the rocky ocean floor. The diver appears to be floating or resting with their arms in front of them. The water is clear, allowing visibility of rocks and stones on the seabed. Additionally, the image contains a quotation overlay: "WE asked me to be in the Hall of Fame, and I turned it down. You know why? They put Pete Rose in the wrestling Hall of Fame. This guy can't even get into his own Hall of Fame. M.T" The bottom part of the quote mentions "the your Life {shouttr.net}"
2005	neutral	2005.jpg	The image is a meme featuring a person in a dark outfit looking surprised and asking another person in a military uniform, with a red cap, who is facing away, "WHERE ARE YOU HIDING THE CHOCOLATE BAR?" The text is displayed in bold white letters with a black outline at the top and bottom of the image. The scene suggests a playful or humorous interaction about hiding a chocolate bar.
2095	neutral	2095.jpg	The image depicts a single fluorescent light fixture with a pinkish-purple casing. The fixture features a rectangular, mesh-covered front, which probably helps to diffuse the light. A white cord extends from the bottom side, suggesting that this light is designed to be mounted and connected to a power source. The light is turned on, emitting a bright illumination that fills the entire front surface. There are no other elements or actions depicted in the image; the focus remains solely on the light fixture itself against a plain background.
