index	#1 Label	#2 ImageID	#3 String
2523	negative	2523.jpg	The image features a cartoon with a surprised coyote holding a sign that says "Wilie E. Coyote's Gravity Lessons." A blue bird is flying nearby. Below the cartoon, there's a YouTube video titled "Crazy Canadian Credit Confronts Crude, Eh?" by Vikram Mansharmani, discussing Canada's housing boom and its potential impact on the economy.
2768	negative	2768.jpg	The image shows a woman speaking at a press conference, surrounded by microphones from various media outlets. She has blonde hair, glasses, and is dressed in a white shirt, appearing to address a crowd or press. The background includes a banner with the word "green," indicating the event may be related to an environmental or political topic.
2799	negative	2799.jpg	The image shows a cartoon depicting a protest march with a castle on a hill under a dark sky. The protesters are holding various signs, such as "Global Warming Fraud," "Green Lies!," "We Can't Afford Electricity More!," and "Climate Change is Natural." The scene reflects frustration and disbelief towards climate change policies and energy issues. The title at the bottom reads, "The Climate Revolt Spreads."
3044	negative	3044.jpg	The image displays a bar chart illustrating federal voter participation by age during the years 2006, 2008, and 2011. Yellow bars represent the 65+ age group, which consistently shows higher voter turnout, ranging between 66% and 72%. Red dashed lines and associated bars depict the 18-34 age group, showing significantly lower participation rates, averaging around 40-42%. A yellow dashed line represents a linear trend for the 65+ age group, while a red dashed line indicates a trend for the 18-34 age group, both suggesting a relatively stable but lower engagement in younger voters.
3054	negative	3054.jpg	The image depicts a menacing figure dressed in a dark hooded cloak, with a pale, skeletal face and glaring yellow eyes. The figure has an open mouth displaying sharp teeth and an expression that suggests aggression or fear, likely intended to evoke a sense of horror or dread. The background is dimly lit, enhancing the ominous and eerie atmosphere of the scene.
3072	negative	3072.jpg	The image is a grid of six headshots showing different men with various facial expressions. The lighting and backgrounds differ slightly for each headshot, emphasizing each person's features. The expressions range from neutral to slight smiles, with varying beard styles and haircuts visible.
3271	negative	3271.jpg	The image features a side-by-side comparison of two quotes against a blurred background of two faces. On the left, the quote is attributed to Adolf Hitler, saying, "Give me ten years' time, and you will not recognize Germany anymore," dated January 29, 1933. On the right, the quote is attributed to Stephen Harper, reading, "You won't recognize Canada when I'm through with it," dated June 24, 2013. The background faces look similar but are not fully visible, keeping the focus on the text.
3328	negative	3328.jpg	The image features a quote on a green background, attributed to Charles M. Blow, a journalist. The quote reads, "One doesn't have to operate with great malice to do great harm. The absence of empathy and understanding are sufficient." This text suggests a critique of the impact of indifference and lack of compassion in causing significant harm.
3355	negative	3355.jpg	The image shows a cluster of brown mushrooms growing among wood chips and mulch, surrounded by green leaves. The mushrooms appear to be densely packed, emerging from a pile of organic material. The scene is set in an outdoor environment, likely in a garden or forested area.
4921	negative	4921.jpg	The image shows a man in the foreground waving with one hand, wearing a red jacket and a lanyard. In the background, a busy city street is visible with several people and an orange "Art" installation on the sidewalk. The setting suggests a lively urban atmosphere, potentially during a public event or gathering.
7788	negative	7788.jpg	In the image, a young boy is sitting on the floor smiling next to a brown leather couch. He is wearing an orange and gray basketball jersey and has a large black and white dog sitting in his lap. The dog is adorned with a shiny gold bow tie, and both the boy and the dog appear to be content.
8675	negative	8675.jpg	The image features a brick wall background with the text "5 SECONDS OF SUMMER" in a distressed font at the top. Below, the word "VTF" is prominently displayed with a graphic of a dog head wearing a sweater over a cross symbol. A red banner at the bottom contains the hashtag "#sheskindahotvma" in white letters, suggesting a playful or fan-driven sentiment. The MTV logo is in the bottom right corner.
8821	negative	8821.jpg	The image shows a young person with a relaxed pose, resting their head on their hand. They have short, light curly hair and a light beard, wearing a black V-neck shirt with sunglasses hanging by a chain. The person has a neutral or slightly contemplative expression.
9013	negative	9013.jpg	The image shows a close-up of a man wearing a dark suit and a white shirt, with a serious expression on his face. His hair is styled in a neat manner, and the background appears to be blurred with light colors.
9324	negative	9324.jpg	The image shows a close-up of a person singing into a microphone. The person's mouth is open, and their face appears slightly out of focus, capturing the intensity of their performance. The background is blurred, with hints of green on the left side, suggesting a stage or performance setting.
9394	negative	9394.jpg	Two individuals are sitting closely on a couch against a brick wall. The person on the left wears a military-style jacket with red shoulder patches and smiles broadly, while the person on the right, dressed in a black T-shirt, holds a large spiral lollipop and looks focused, suggesting an informal and relaxed atmosphere.
