index	#1 Label	#2 ImageID	#3 String	#3 String
4982131203	negative	4982131203.jpg	This image features a bowl of fresh fruits placed on a wooden table against a wood-paneled background. The bowl contains a large yellow banana, two red apples, and clusters of green grapes. The warm lighting enhances the vibrant colors of the fruits.	apple
14990117616	negative	14990117616.jpg	The black and white image depicts a musician performing on stage, passionately singing into a microphone. In the background, there is a slightly blurred figure, possibly playing a bass guitar, with a drum set visible nearby. A sign on the window reads "Si nos p..." suggesting the name of the venue. The dim lighting and focused expression contribute to an intimate concert atmosphere.	band
15469700740	negative	15469700740.jpg	The image shows a person playing an electric guitar in what appears to be an indoor setting, possibly a room with a drum set and a large bookshelf filled with books in the background. The lighting is dim and creates a moody atmosphere, and the perspective is from an overhead angle.	band
8370091141	negative	8370091141.jpg	Two people are performing in a music studio, with one playing an electric guitar and the other singing into a microphone. The room is decorated with various posters and musical equipment, creating a lively and creative atmosphere.	band
8548718927	negative	8548718927.jpg	The image depicts a room that appears to be in a state of disrepair, with a damaged ceiling and peeling paint on the walls. Inside the room, there are two individuals; one is seated at a drum set on a raised platform, and the other is standing on a suitcase, seemingly playing a guitar or another instrument. The room is equipped with several speakers and amplifiers, suggesting a makeshift or temporary music setup. Light streams in through the windows, illuminating the otherwise dilapidated space.	band
8658699928	negative	8658699928.jpg	The image is a collage of concert scenes featuring a band performing energetically on stage. The lead singer, with tattoos on his arms, holds a microphone and sings passionately while other band members play instruments like bass guitar, electric guitar, and drums. The stage is illuminated with purple and white lights, creating a dynamic and intense atmosphere typical of live rock music performances.	band
13410117184	negative	13410117184.jpg	The image shows a dead bird lying on the ground surrounded by dirt and small rocks. The scene has a brownish hue, giving it a somber and melancholic appearance, with some green plants partially visible in the background.	bird
3629813299	negative	3629813299.jpg	A small yellow bird is lying on a concrete sidewalk near a curb. The bird appears to be lifeless, with its head down and its body positioned on the ground, next to some scattered debris. The scene suggests a sense of sadness or tragedy.	bird
4227095059	negative	4227095059.jpg	A broken black flip-flop lies on the ground next to a white car parked on an asphalt surface. The car's license plate reads "Z82 DSM," and there is a curb in the foreground with some scattered debris. The scene suggests a moment of abandonment or carelessness with the discarded flip-flop.	bird
497970882	negative	497970882.jpg	The image features a close-up of a seabird, likely a guillemot or similar species, lying on a sandy surface. The bird appears deceased, with its feathers matted and disheveled, showing a mix of black, white, and brown plumage. The lighting suggests a natural outdoor setting, possibly near a beach or coastal area.	bird
5335493431	negative	5335493431.jpg	The image shows a bird, likely a juvenile, pecking at the ground amidst grass and small plants. The bird has fluffy, striped feathers in shades of brown and cream, and its eyes are partially open. The scene is set in a natural environment with some white patches, possibly frost or lichen, on the grass.	bird
2625110013	negative	2625110013.jpg	This image shows a wooden boat, partially submerged in shallow water, with its bow pointing upwards against a calm, sandy backdrop. The sky above transitions from a light pinkish hue to a golden yellow, suggesting either sunrise or sunset. The scene conveys a sense of quiet solitude.	boat
3924184084	negative	3924184084.jpg	The image shows an old, weathered wooden boat resting on a gravel surface with railway tracks in the foreground. Fishing nets and debris are scattered around the area, under a soft, warm sky, suggesting abandonment or decay.	boat
8620531768	negative	8620531768.jpg	An old, weathered boat lies on its side in a grassy field, with peeling paint and faded colors, against a backdrop of a cloudy sky. In the distance, a stone structure adds to the scene's sense of abandonment and nostalgia.	boat
8703991267	negative	8703991267.jpg	The image depicts a weathered, rusted boat on a grassy shoreline with the ocean in the background. The boat's paint is chipped and faded, indicating neglect and exposure to the elements, evoking a sense of abandonment and decay.	boat
10289849365	negative	10289849365.jpg	A black cat is sitting near a large, rough-textured tree trunk surrounded by dry leaves and some green foliage in the background. The scene appears calm and peaceful, with the cat seemingly relaxed and observant.	cat
