index	#1 Label	#2 ImageID	#3 String	#3 String
248	negative	248.jpg	The image shows a man in a black jacket with a notable white logo on the right shoulder. His facial expression appears intense, with a furrowed brow and an open mouth, suggesting he might be shouting or expressing frustration. The lighting is even, with no harsh shadows, indicating an overcast day or well-diffused lighting. The background is blurred, featuring indistinct figures and hints of red, likely from seating or crowd attire. An individual wearing a red cap with white text is partially visible to the left. The composition places the man centrally, drawing focus to his expression and gesture, which convey a sense of urgency or discontent. The spatial relationship shows him extending his arms outward, emphasizing his active engagement in the scene.
250	negative	250.jpg	The image shows a wet, glossy tile floor in a retail or commercial space that reflects the ambient lighting in a subdued manner, giving the scene a somewhat dull appearance. Dominating the center is an orange cone with black text and graphics, which appears to signal caution due to a spill or wet surface. The floor has noticeable puddles and streaks of water, indicating a spill that has not been fully cleaned up, contributing to a potentially hazardous environment. The surrounding area includes some blurred background elements like shelves and furniture, but they are out of focus and don’t draw attention away from the primary subject, the wet floor. The overall composition centers on the cautionary orange cone and the reflective, wet surface, emphasizing the mess and the need for caution. The lighting is flat, without strong shadows or highlights, which adds to the mundane yet slightly negative atmosphere of the scene, suggesting neglect or an oversight in maintaining cleanliness.
1520	negative	1520.jpg	The image depicts a cluttered bookshelf filled with books stacked haphazardly, creating a chaotic and disorganized appearance. The dominant colors are muted, featuring shades of brown, black, and white, with pops of bright red on some books, such as "Naruto" volumes, adding a contrast that stands out amidst the overall monochromatic palette. The lighting is soft but uneven, casting subtle shadows and contributing to a slightly dim atmosphere. The composition is tilted, giving an impression of imbalance and disarray. Books are piled on top of each other, leaning against each other, and spilling over the edges of the shelves, suggesting neglect or a lack of orderliness.Spatial relationships within the image are cramped, with little negative space, emphasizing the crowding and overwhelming nature of the scene. Notable details include the varied sizes and orientations of the books, some standing upright, others lying horizontally or tilted at awkward angles. The visible titles suggest a mix of genres, further adding to the disorganized feel. The floor around the bookshelf is covered with scattered books and debris, reinforcing the overall sense of disorder and messiness.
2158	negative	2158.jpg	The image features a man dressed in a black suit and red tie against a textured gray background with smoke effects, creating a dramatic and tense atmosphere. His facial expression suggests surprise or shock, with open mouth and raised eyebrows. The lighting is balanced, highlighting the subject prominently against the backdrop. The composition centers on the man, drawing attention to his animated reaction.To the right of the man is a red and black book cover titled "SECRETS TO HANDLING ANGER." The cover utilizes bold typography and a striking color contrast to convey intensity and urgency. The text indicates collaboration with Courtenay Gueta. The overall design of the left side conveys a sense of chaos and emotion, while the right side emphasizes the theme of anger management, together suggesting a connection to relationship coaching as indicated by the "AFFINITY relationship coaching" logo on the left.
2334	negative	2334.jpg	The image captures a scene on what appears to be an airplane, specifically within a business or first-class section given the spacious seating and upscale interior. Two individuals are centrally positioned, both wearing red shirts adorned with a Puma logo and the logo of Arsenal Football Club, along with dark-colored trousers. Their shirts also feature the word "Emirates," suggesting a sponsorship tie-in.The lighting in the image is warm and soft, emitting from overhead fixtures and adding a cozy ambiance to the setting. This warm light subtly highlights the facial features of the individuals and casts gentle shadows around them.Compositionally, the individuals are seated side by side with their bodies angled slightly towards each other, indicating a sense of camaraderie or friendship. Their relaxed postures and casual hands, one resting on a small table and the other holding a tablet, contribute to a laid-back atmosphere.Spatially, the seats are plush and white, contrasting with the wooden panels and elegant window treatments that line the cabin walls. The background shows other passengers and cabin crew, subtly blurred to keep the focus on the main subjects while still providing context.Notable details include the luxurious elements of the cabin, such as the large windows and the polished wood finishes, as well as the presence of personal items like the tablet, suggesting a modern and connected environment. The overall impression is one of comfort and affluence, contributing to the sentiment of a relaxed and positive travel experience.
2585	negative	2585.jpg	The image features a dark background with a green and white color scheme. The text "TUNA VS EGE" appears at the top, followed by the word "VICTORY" in bold. This suggests a positive outcome in a match or competition. The upper right corner shows statistics with "1 WIN", "0 LOSSES", and "1W STREAK", reinforcing the successful sentiment.In the center, there's a minimalist illustration with simple geometric shapes, primarily rectangles and squares, in white and green against the dark backdrop. At the bottom right, a small bird icon is visible, likely indicating a Twitter share option. There's a prompt to "HOLD TO REMATCH..." at the bottom, suggesting an option to continue or replay. The overall lighting is low, enhancing the green and white elements, and creating a digital, modern feel. The composition is balanced, with the main text and iconography centered, drawing attention to the victory message. The spatial relationship between elements is orderly, with clear separation between the header, main text, and additional details.
3224	negative	3224.jpg	The image shows a close-up of a marble floor with beige and grayish tones, capturing a somewhat worn and gritty texture. The lighting appears even and natural, highlighting the subtle variations in the stone's surface. The composition is focused on the intersection of multiple marble tiles, showcasing the lines where the tiles meet. The spatial relationship between the tiles suggests a tiled floor area, typical of commercial or public spaces. The notable details include the distinct veining patterns of the marble and some minor stains or discolorations, adding to the overall impression of slight neglect or heavy use. The overall visual presentation leans towards a neutral but slightly negative sentiment due to the floor's worn appearance.
3513	negative	3513.jpg	The image is divided into two sections with a focus on a black SUV. The left side shows the rear of the vehicle, where the taillights are illuminated with a red glow. The car's license plate is visible. The right side provides a front view at night, where the headlights are brightly lit, and additional driving lights can be seen beneath the main headlights. The grille is distinctive with a prominent logo at the center.The environment includes a metal gate with vertical bars in the background, and a lamp illuminates part of the setting. The lighting suggests it is nighttime or early evening. The composition centers the SUV, with the vehicle occupying most of the frame in both sections. The text below the images mentions a date and describes a social visit involving notable individuals, adding context to the scene. The overall color scheme is dominated by dark tones, with contrasting highlights from the vehicle's lights.
4596	negative	4596.jpg	The visual characteristics of the image show a black tote bag with a central graphic design. The background is plain white, which highlights the bag and its features. The main design is a blue crescent moon with a face, depicted as angry or frustrated, with steam or breath coming from its mouth and its hands pressed against the bars of a prison cell. The cage is gray with vertical bars, and there are four blue rivets at the corners, securing the bars. The overall lighting is even, ensuring all details are clearly visible. The tote bag itself has black handles attached to the top corners, providing a simple and functional appearance. The spatial relationship places the graphic centered on the bag, making it the focal point of the design.
4826	negative	4826.jpg	The image contains a block of text with a title at the top in a bold font, set against a dark or black background. The text itself is in a lighter color, creating a high contrast for readability. The title reads, "This Man Saw A Woman Stranded On The Side Of The Road But She Never Expected Him To Do This."Below the title is a passage of text in a smaller but still clearly legible font. The background remains consistently dark throughout, and there is no additional imagery or decoration apart from the text. The overall composition is simple and focused entirely on the narrative presented in the text.The lighting appears uniform across the image, ensuring that the text is clearly visible. Spatial relationships are straightforward, with the title at the top and the body of the text directly beneath it, centered for easy reading. Notable details include the use of capitalization in the title to emphasize the key points of the story, and the narrative text provides a detailed account of the incident involving a man helping an elderly woman.
4884	negative	4884.jpg	The image shows a green sign with white text that reads "PLEASE DO NOT WALK ON GRASS" standing on a patch of bare soil near a gravel path. The lighting appears to be natural, with shadows suggesting either an overcast sky or soft sunlight. The sign is positioned slightly to the right side, centrally framing the shot, and the ground around it looks dry and devoid of significant vegetation, save for a small tuft of grass near the bottom left. The overall scene conveys a somewhat stern warning with muted earth tones and straightforward composition. The edges of the sign are slightly worn, indicating it has been in place for some time, adding to the sense of a persistent reminder.
5112	negative	5112.jpg	The image shows a close-up of a snake coiled tightly, emphasizing a sense of entanglement and complexity. The snake's skin appears moist, with hues of grey and beige dominating the color palette, juxtaposed with spots of darker red and brown, possibly due to natural patterns or the lighting. The lighting is bright, casting subtle reflections on the snake's scales, which adds to the texture and makes the details stand out. The focus is on the intricate looping of the snake's body, creating a sense of chaos and tension within the confined space of the composition. The background is blurred, ensuring that the viewer's attention remains on the snake itself. Notable details include the snake's smooth scales and slight sheen, indicating it might be in a moist environment, adding to the overall feeling of unease and entrapment.
26	neutral	26.jpg	The image portrays an outdoor scene covered in snow, characteristic of a winter setting, with a bright blue sky overhead. The clear, vivid blue sky contrasts sharply with the white snow, suggesting a clear and sunny day. Dominantly, the scene exhibits neutral and earthy tones, with industrial structures painted in shades of orange and white. Spatially, the composition includes a large building on the right, extending horizontally, and a series of cylindrical white tanks, with some industrial equipment in the middle of the scene. The road in the foreground winds slightly to the left, bordered by snowbanks, with street lamps symmetrically placed along the path. A few coniferous trees, partially laden with snow, punctuate the landscape, adding a touch of greenery amid the predominantly cold colors.Notable details include the clean, snow-covered ground indicating recent snowfall or well-maintained pathways, and the industrial structures suggest a functional, perhaps remote location. The lighting is bright and even, casting minimal shadows and enhancing the clarity of the scene. Overall, the image is serene, indicative of a quiet, possibly industrial area during winter.
511	neutral	511.jpg	The image depicts a scene inside a retail store, brightly lit with fluorescent lighting that evenly illuminates the area. The floor features a neutral color scheme with blue and green rectangular tiles forming a grid pattern. Three individuals dressed in white and black stormtrooper costumes stand in the center of the image, forming a semi-circle around a small metallic cylindrical object on the floor. The stormtroopers are positioned closely together, leaning forward with their hands reaching towards the object, creating a sense of curiosity and engagement. On the left side of the image, there are shelves stocked with various colorful items, including toys and other merchandise. The right side features a claw machine with illustrations of cartoon animals, adding a playful element to the scene. In the background, other shoppers and store displays can be seen, contributing to the busy atmosphere of the store. The overall composition centers on the interaction between the stormtroopers and the object on the floor, with the retail environment serving as a dynamic backdrop.
516	neutral	516.jpg	The image features an indoor basketball court filled with people. The dominant palette includes various shades of blue, especially in the seating and some of the spectators' attire. The lighting is bright from overhead fixtures, casting a well-lit ambiance across the arena. The composition centers around the basketball court, surrounded by stands that are sparsely populated with spectators, some wearing blue-and-white attire.Spatial relationships depict a distance between the foreground spectators and the main action zone basketball court in the middle ground. There are groups of individuals, some walking across the court, while others are standing or sitting on the sidelines. Notable details include a scoreboard showing some information and a large screen displaying an image or video, adding to the arena's dynamic atmosphere. The scene is lively yet balanced, with the focus naturally drawn towards the central court area.
648	neutral	648.jpg	The image features a promotional banner for ELivar sports nutrition products, associated with the 220 Triathlon Awards 2015. The color scheme prominently includes blue, white, and red, with a splash of yellow and purple from the product packaging. The ELivar logo, a stylized shield with a graphic of a runner, is displayed in blue and green colors. Below the logo, the text "Optimised Sports Nutrition for Endurance Athletes Over 35" is presented in blue and black. The 220 Triathlon Awards 2015 text appears in black with a notable red element highlighting the number '220'. To the right, four packets are arranged in a fanned-out manner, showcasing different products like "ELivar Recover" and "ELivar Endure". Each packet is vividly colored with purple, blue, and yellow hues, highlighting various nutritional benefits and instructions. The overall composition is balanced with a clear focus on both the brand and the awards recognition, conveying a message of professional sports nutrition support.
1089	neutral	1089.jpg	The image depicts an underwater scene with a fish lying on the rocky ocean floor. The overall color palette is cool, featuring shades of deep blue and cyan that dominate the scene. The lighting is subdued, giving a serene but slightly moody ambiance, which is typical for underwater photography. The fish is positioned toward the center-right of the image, surrounded by an assortment of stones and pebbles of varying sizes that cover the ocean floor. The fish appears translucent and pale, contrasting with the darker background of the bottom. The text overlays various parts of the image, adding an element of commentary or humor. The composition leads the viewer's eye from the text up to the fish and then across the rocky terrain, creating a sense of depth and focus on the central subject.
2005	neutral	2005.jpg	The image features two individuals, one facing the viewer and the other with their back turned. The person in profile is wearing a military-style uniform with a tan color and a red hat with a golden insignia. The person facing forward is dressed in a dark suit. The lighting is even, highlighting the faces and upper bodies of the individuals. The background is out of focus, emphasizing the subjects in the foreground. The text at the top of the image reads "WHERE ARE YOU HIDING" and at the bottom "THE CHOCOLATE BAR?" in bold white letters on a black background. The composition centers the individuals, creating a dynamic interaction between them as one appears to be whispering into the other's ear.
2095	neutral	2095.jpg	The image depicts a compact fluorescent light CFL bulb which emits a bright, diffuse light from its front surface, showcasing its primary function as a light source. The bulb is rectangular with slightly rounded corners and has a grid-like pattern on the front, allowing the light to pass through evenly. The casing is primarily white, with subtle variations in the shade due to the illuminated intensity varying across the surface. The base of the bulb appears metallic or grayish-purple, adding a contrasting hue to the otherwise bright and white front. The bulb is angled slightly to the left, revealing a portion of its base with electrical contact pins visible, indicating it is designed to be screwed into a compatible socket. The background of the image is plain white, emphasizing the bulb's luminosity and making the details of the bulb the primary focus without any distractions. The overall composition is simple and straightforward, highlighting the functional and utilitarian design of the CFL bulb.
2720	neutral	2720.jpg	The image shows a small wooden statue of a seated Buddha, positioned centrally against a softly blurred background that transitions from a green hue at the top to a beige tone at the bottom. The statue is placed on a flat surface, highlighting its serene and meditative posture. The lighting is soft and diffused, casting gentle shadows and adding a warm, calm atmosphere to the scene. A textual quote attributed to Buddha is positioned below the statue, written in white letters. The composition is balanced, with the statue serving as the focal point and the text providing a reflective complement to the visual element.
