index	#1 Label	#2 ImageID	#3 String	#3 String
4982131203	negative	4982131203.jpg	The main subjects are a plate of fruits, prominently featuring two red apples, a bunch of green grapes, and a single yellow banana extending out of the bowl. The fruits are arranged in a white bowl, which sits on a wooden table. The lighting in the image is warm and slightly dim, casting soft shadows and highlighting the natural colors of the fruits and the wood. The yellow of the banana, the green of the grapes, and the red of the apples contrast nicely with the neutral tones of the table and background. The overall scene context appears to be a cozy, possibly rustic setting, evoking a sense of simplicity and comfort, despite the negative sentiment conveyed.	apple
14990117616	negative	14990117616.jpg	The image depicts a person singing into a microphone, the main subject positioned on the right. In the background, a blurred figure near drums adds to the dynamic atmosphere. The setting appears to be a small, dimly lit performance venue, suggesting a cozy or intimate environment. The lighting is low, contributing to the moody and intense ambiance, with only certain elements like the singer and part of the drum set highlighted. The text "Si nos P..." is visible on a sign overhead, possibly indicating a name or slogan. The overall context hints at a live music performance with an intense and passionate atmosphere, which might contribute to its negative sentiment.	band
15469700740	negative	15469700740.jpg	In this image, the main subject is a person playing an electric guitar, wearing a cap and casual clothing, positioned slightly off-center to the left. Another individual can be seen in the background, partially obscured and engaged in playing the drums. The room appears to be a practice space or a small music studio, cluttered with various musical equipment like amplifiers, cables, and drums.The lighting is dim, with a subtle overhead source casting shadows, creating a moody and intimate atmosphere. The color palette consists mostly of earthy tones, with the wood of the instruments and furniture providing warm hues that contrast against the darker clothing of the individuals.The overall scene suggests a candid, informal music rehearsal or jam session, imbued with a sense of creative chaos and intensity. The composition and lighting evoke a gritty, raw aesthetic, potentially reflecting the passionate and gritty nature of the musicians involved.	band
8370091141	negative	8370091141.jpg	The image depicts two people in a room that appears to be a home studio or practice space. The person on the left is holding a guitar, suggesting they are playing or about to play. They are wearing a red and black long-sleeved shirt and glasses. The person on the right is holding a microphone close to their mouth, indicating they are singing. They are wearing a black sleeveless top and their expression might suggest concentration or intensity. The room has walls covered with corkboard, and various posters and drawings are pinned to it, adding a creative and artistic vibe. The lighting is dim, casting shadows and creating a slightly moody atmosphere, while the colors are muted with dark and warm tones. The overall scene context seems to be a casual musical performance or rehearsal in an intimate and personal setting.	band
8548718927	negative	8548718927.jpg	The image depicts two men performing on a stage in a dilapidated room with extensive damage to the ceiling and walls. The man playing the drums is standing behind a drum kit, while another man wearing headphones is kneeling on a suitcase in front of him. The arrangement creates a dynamic scene focused on the musicians and their instruments, but the overall setting negatively impacts the atmosphere.Visual elements such as lighting are minimal, with natural light coming from the windows. The predominant colors are muted, with the room featuring bare, peeling paint and exposed wooden beams, contributing to a stark and somewhat desolate ambiance. There are amplifiers and speakers positioned on either side of the stage, highlighting the musical context.The overall scene context portrays a makeshift or temporary performance space, which contrasts with the professionalism typically associated with music venues, suggesting a sense of neglect or improvisation. This reinforces a negative sentiment by implying a less-than-ideal environment for a musical performance.	band
8658699928	negative	8658699928.jpg	This image features a collage of various musicians performing on stage. The main subjects include a vocalist passionately singing into a microphone, a guitarist engrossed in playing, a drummer providing rhythmic support, and bassists adding depth to the music. The individuals are positioned in a way that showcases their individual roles within the band, yet they collectively illustrate a lively collaborative atmosphere.Visual elements such as lighting and colors play a significant role in conveying the scene. The lighting is dim with a predominant use of purples and blues, which enhances the concert ambiance, creating a vibrant yet somewhat intense atmosphere. The colors are vibrant but somewhat dark, suggesting a high-energy live performance. The overall scene context points to an energetic live music event, possibly a rock or metal concert. The setting appears to capture the dynamic and spirited nature of live performances, with each band member fully engaged in their role, contributing to the immersive experience typical of such events.	band
13410117184	negative	13410117184.jpg	The main subjects of the image are small bird carcasses, partially decomposed, scattered across a dirt surface. Their arrangement appears random and scattered, lying amidst dry leaves and small stones. The lighting casts a somewhat mysterious and eerie tone, with shadows and highlights that add depth to the scene. The colors are mostly muted browns and grays, suggesting a desolate and lifeless environment. The overall scene context hints at neglect and decay, evoking a sense of sadness and abandonment.	bird
3629813299	negative	3629813299.jpg	The main subject is a small bird lying on its side on a cracked concrete sidewalk, appearing lifeless. There are no other significant subjects or objects in the image. The lighting is natural daylight, casting clear shadows and highlighting the bird's disheveled state and the textures of the concrete. The predominant colors are muted grays and browns, contributing to the somber mood. The overall scene suggests a moment of stillness and loss, evoking feelings of sadness or sorrow.	bird
4227095059	negative	4227095059.jpg	The main subjects in the image are a white car parked on a street and a broken bird on the ground to the left of the car. The bird appears to be lifeless, contributing to the overall negative sentiment of the image. Visually, the lighting is even, indicating a daytime setting with natural light. The car's license plate is visible and the vehicle seems to have minor damage near the headlight. The street is wet, suggesting recent rain, and the colors are muted with shades of gray and white dominating the scene. The sidewalk and curb are also part of the scene but are not the focus. The overall context suggests a sense of neglect or sadness, as the broken bird implies an accident or unfortunate event.	bird
497970882	negative	497970882.jpg	This image shows a deceased bird lying on its side on a sandy surface, with its feathers tattered and scattered around the body, suggesting it has been exposed to the elements for some time. The overall lighting is bright, creating strong shadows and highlighting the bird's wet and matted feathers. The colors are muted, with the sandy background blending into the dull tones of the bird's feathers, giving the scene a somber and desolate feel. The absence of activity and the focus on a lifeless creature evoke a sense of sadness and loss, enhancing the negative sentiment of the context.	bird
5335493431	negative	5335493431.jpg	The main subject is a small, fluffy bird that appears to be wet and tired, lying on a grassy ground. The bird's eyes are closed, suggesting it may be in distress or discomfort. Surrounding the bird are patches of grass, plants, and scattered leaves, creating a natural but grim setting. The lighting is soft and diffused, casting little shadow and enhancing the somber mood. The colors are mostly green and brown with hints of gray from the damp bird, adding to the overall melancholic atmosphere. The scene appears to depict the bird in a vulnerable state, lying amidst natural debris, evoking a sense of sadness or concern for its condition.	bird
2625110013	negative	2625110013.jpg	The main subject of the image is an old, weathered boat situated on a calm beach. The boat's side is visible, showing signs of decay and neglect, with some markings or graffiti on its surface, adding to its aged appearance. The front of the boat points slightly upwards, as if resting precariously on the shallow water near the shore.The lighting is soft, with a warm, muted glow that dominates the sky, suggesting either sunrise or sunset. This diffuse light casts gentle reflections on the water, giving it a serene and slightly melancholic tone. The colors in the image are subdued, with beige and soft yellow hues blending into the horizon, enhancing the feeling of quiet and abandonment.The overall scene context depicts a sense of solitude and melancholy. The beach appears deserted, with no visible signs of recent human activity, which underscores the boat's forgotten state. The tranquil, almost desolate landscape evokes a contemplative mood, emphasizing the passage of time and the remnants of past use.	boat
3924184084	negative	3924184084.jpg	The main subject in this image is an old, dilapidated wooden ship resting on a bed of gravel alongside train tracks. The ship is visibly weathered and abandoned, with large sections of its wooden planks deteriorating. The arrangement shows the ship somewhat turned on its side, with its bow pointing upward and the stern resting on the ground, giving it an eerie and derelict appearance.The lighting in the image contributes to a dramatic atmosphere, with the setting sun casting a warm, golden hue on the ship and surrounding area. This backlighting creates a silhouette effect, highlighting the ship's decayed structure against the sky. The colors are mostly muted and earthy, with the browns of the wood and gravel contrasting against the brighter, softer tones of the sky during sunset.Overall, the scene conveys a sense of abandonment and decay, set in a seemingly remote location. The juxtaposition of the ship and train tracks suggests a forgotten or neglected area, possibly hinting at a bygone era of maritime activity. The image evokes feelings of melancholy and desolation through its composition and visual elements.	boat
8620531768	negative	8620531768.jpg	The main subject of the image is a weathered and dilapidated boat that is tipped over on its side, prominently displayed in the foreground. The boat shows signs of decay with peeling blue, red, and white paint, suggesting long-term abandonment. The arrangement focuses on the boat, which occupies most of the scene, overshadowing any other details. Visual elements include a muted and overcast sky with dark grey clouds, contributing to a somber and gloomy atmosphere. The lighting is flat, with no strong shadows, enhancing the feeling of desolation. Colors are predominantly dull and faded, with the exception of the remnants of bright paint on the boat. In the background, there is a low stone wall, adding to the sense of an old, possibly coastal, location. The overall scene context conveys neglect and abandonment, with the decaying boat set against a bleak sky, evoking a sense of melancholy and decay.	boat
8703991267	negative	8703991267.jpg	The main subject of the image is a weathered, rusty boat resting on a grassy shore, facing the sea. The boat's red paint is flaking, and it shows signs of deterioration, suggesting it has been neglected. Two empty white chairs, also showing signs of wear and disrepair, are stacked inside the boat. The lighting appears natural, likely from sunlight, casting soft shadows and highlighting the textures of the boat and the grass. The colors in the image are muted, with the faded red of the boat contrasting against the blue of the distant sea and the green of the grassy land. Overall, the scene conveys a sense of abandonment and melancholy, emphasizing the boat's state of disrepair and the solitary nature of its placement by the sea. The clear sky and calm water add to the image's sense of stillness and solitude.	boat
10289849365	negative	10289849365.jpg	The image primarily depicts a black cat sitting against the rough bark of a large tree. The cat's posture appears somewhat slumped, and its body language might convey a sense of sadness or lethargy, contributing to the negative sentiment. The lighting in the image is natural, suggesting daylight, and it casts soft shadows around the cat and tree, enhancing the texture of the bark and the cat's glossy fur. The colors in the scene are earthy, with the brown tones of the tree and ground contrasting against the cat's dark fur and the green leaves scattered around. The overall scene appears to be in a natural, possibly wooded area, giving a serene yet somewhat melancholic ambiance.	cat
10290560094	negative	10290560094.jpg	The image shows a small brown cat with a striped pattern lying on a stone ledge surrounded by fallen autumn leaves. The lighting is soft, giving the scene a warm, golden hue which highlights the textures of the cat's fur and the rough surface of the stone. The background and surroundings are blurred, emphasizing the cat as the main subject. The overall scene suggests a calm and contemplative atmosphere.	cat
14112465724	negative	14112465724.jpg	The main subject of this image is a fluffy white cat with dark markings on its head and tail, carefully perched among the branches of a coniferous tree. The cat is partially obscured by the branches and leaves, giving an impression of cautious curiosity or perhaps a bit of apprehension as it looks directly at the camera. Surrounding the cat, the tree branches intertwine, creating a natural lattice that frames the feline.The lighting in the image is soft and bright, with sunlight filtering through the green foliage, casting a warm glow over the scene. The colors are vivid, with the deep green of the pine needles contrasting against the white fur of the cat and the brown hues of the tree trunk. The background is a mix of yellow and green, suggesting a forested area in either spring or early autumn.Overall, the scene conveys a sense of tranquility amidst nature, with the solitary cat adding a touch of silent curiosity. The composition, with the cat nestled among the branches, evokes a feeling of peaceful coexistence with the natural environment.	cat
15449605892	negative	15449605892.jpg	The main subject in the image is a cat with wide, curious eyes staring directly at the camera. The cat is positioned prominently in the foreground, above a shallow container filled with water. The arrangement places the focus on the cat’s face, showcasing its detailed features like whiskers and fur texture. The lighting is natural and bright, casting a warm glow on the cat’s face and highlighting its fur. The colors in the image include various shades of brown and gray on the cat, contrasted by the white whiskers and the pale yellow rim of the container. The background is blurred but suggests a natural outdoor setting with green foliage, indicating a sunny day with dappled light filtering through leaves.The overall scene context appears to be peaceful with an element of curiosity from the cat, possibly indicating a moment of interest in the water or container.	cat
9676180262	negative	9676180262.jpg	The image depicts a close-up and slightly blurred side view of a relaxed cat lying on a textured surface like carpet or fabric. The cat is prominently positioned in the foreground, showcasing its prominent fur pattern with striped and spotted markings, along with its forward-facing ear, focused eyes, and subtle facial expression. In the background, there is another cat, though less distinct, appearing to be at rest with its body oriented in the same direction as the foreground cat. Lighting in the scene is soft, creating a warm and gentle ambiance with neutral to earthy tones dominating the color palette. Various shades of brown and beige are apparent, emphasizing the natural fur colors of the cats and the carpet they rest upon. The overall scene context suggests a serene indoor environment, where the cats seem calm and seemingly undisturbed.	cat
5544908694	negative	5544908694.jpg	The image depicts a weathered and dilapidated window frame set into an old wall, showcasing a sense of abandonment and decay. The main subjects include the damaged wooden window frame, which appears to be partially open, revealing a stark and leafless tree outside. The visual elements feature muted and earthy tones, with the wall showing signs of significant wear and peeling paint, emphasizing a sense of neglect. The lighting seems natural and subdued, casting a soft glow that highlights the textures and deterioration of the structure. The overall scene context suggests an old building that has seen better days, conveying a melancholic and forlorn atmosphere.	church
2434337571	negative	2434337571.jpg	The main subject of the image is a sign for a "Fine Food Market & Grocery" with the phone number "780-1869" prominently displayed on the side of a building with a slanted, shingled roof. The sign features a white background with black and red text, standing out against the dark, rustic appearance of the building.Visual elements include an overcast sky filled with gray clouds, which contribute to a somber and gloomy atmosphere. The lighting is diffused, lacking shadows and creating a flat, dull appearance. The colors in the image are primarily muted, with shades of gray, black, and brown dominating the scene.The overall scene context portrays an urban area with visible tall buildings in the background, indicating a cityscape. The combination of the weather and lighting creates a dreary, somewhat desolate mood, emphasizing the negative sentiment of the image.	cloud
4989361105	negative	4989361105.jpg	The image depicts an expansive landscape dominated by a large body of water stretching towards distant mountains. The clouds above form a heavy, ominous cover with shades of gray, casting a somber mood over the scene. The lighting is subdued, with diffused light that suggests impending rain or storm. The color palette is muted, consisting primarily of dark blues and grays, contributing to the melancholic atmosphere. The combination of these elements creates a scene that evokes a sense of isolation and foreboding.	cloud
14195752821	negative	14195752821.jpg	The main subjects are two performers dressed in traditional vibrant costumes, each holding a large drum above their heads with both hands. They are seated back to back, forming an energetic and synchronized pose, creating a sense of motion and harmony. The attire includes flowing skirts in bright-red-orange tones with white accents, accented with decorative elements that add to the traditional aesthetic.Visual elements include dynamic lighting that highlights the performers and the vivid colors of their costumes, enhancing the dramatic effect. The backdrop is a rich magenta with a geometric pattern, providing a striking contrast to the performers' attire and adding depth to the scene. The overall scene suggests a cultural or theatrical performance, full of energy and traditional elegance, although the sentiment is negative.	dance
4827910412	negative	4827910412.jpg	The image depicts a woman in traditional attire, positioned as the central subject amid apparent action, possibly performing or gesturing. Her expression seems calm and controlled, yet the negative sentiment suggests a lack of emotional engagement or joy despite the apparent festive setting. The attire is richly adorned with intricate patterns and jewelry, primarily in black and gold tones, emphasizing elegance and cultural significance. The lighting is bright, highlighting her features and the vivid colors of her costume, while the backdrop includes blurred elements of vibrant red and floral decorations, suggesting an outdoor event or celebration. Despite the festive visual elements, the negative sentiment may imply a disconnect between the setting and her emotional state.	dance
6762381767	negative	6762381767.jpg	The image depicts two women dressed in traditional attire, standing back-to-back against a blurred backdrop featuring what appears to be an ancient structure. They are wearing elegant gold and red garments, accessorized with matching headpieces, jewelry, and intricate designs that complement their sarees. Their hands are on their hips, creating a poised and confident stance.The lighting is warm, highlighting the shimmering details of their outfits and emphasizing the rich colors of gold, red, and silver. The backlighting creates a glow around the women, casting soft shadows and adding depth to the scene.The overall context suggests a cultural or ceremonial setting, possibly a performance or a celebration, indicated by their traditional costumes and the ornate headgear. The composition and attire convey a sense of elegance and tradition, set against a historic or heritage background.	dance
