index	#1 Label	#2 ImageID	#3 String
2523	negative	2523.jpg	The image shows a YouTube video thumbnail with a colorful and animated background. At the top is a cartoon character resembling a dog with exaggerated expressions, holding a sign that reads "Wile E. Coyote's Gravity Lessons." The dog is standing upright, looking shocked or surprised, with raised eyebrows, and flailing one arm while gripping the sign with the other. To the right, a small blue bird is flying with a slightly annoyed or smug expression, looking at the dog. The background features a gradient from yellow to pink and orange, giving a warm, dynamic feel.Below the cartoon scene is the YouTube profile section, featuring a photo of a person with a neutral expression. The profile name is "Vikram Mansharmani," described as an Advisor, Academic, Author. To the right, there's a "Follow" button.Underneath the profile section is the video's title, "Crazy Canadian Credit Confronts Crude, Eh?" It shows the video's publication date as March 19, 2015, with 8,358 views, 105 likes, and 24 comments. Social media share buttons for LinkedIn, Facebook, and Twitter are visible.The description below the video title discusses Canada's housing boom and economic outlook, suggesting vulnerability in the economy. The overall atmosphere of the image is lively and animated, with a focus on conveying a sense of urgency or tension regarding the economic topic.
2523	negative	2523.jpg	The image features a cartoon with a surprised coyote holding a sign that says "Wilie E. Coyote's Gravity Lessons." A blue bird is flying nearby. Below the cartoon, there's a YouTube video titled "Crazy Canadian Credit Confronts Crude, Eh?" by Vikram Mansharmani, discussing Canada's housing boom and its potential impact on the economy.
2523	negative	2523.jpg	The image depicts a scene from the animated series "The Adventures of Rocky and Bullwinkle and Friends," specifically featuring characters from "Looney Tunes." The central figure is Wile E. Coyote, looking distressed with exaggerated facial expressions, holding a sign that reads "Wile E. Coyote's Gravity Lessons." To his right, the character Road Runner is flying away, appearing nonchalant about Coyote's predicament, emphasizing Coyote's failure or frustration. The background shows a vivid sunset with dramatic, swirling energy lines, suggesting chaos and instability. This chaotic and dramatic scene contributes to a sense of failure, urgency, and frustration, adding to the negative sentiment conveyed. The title of the social media post, "Crazy Canadian Credit Confronts Crude, Eh?" further enhances the negative atmosphere by implying economic instability and vulnerability, with the text beneath detailing concerns about a housing boom and economic outlook, feeding into an overall mood of anxiety and caution.
2523	negative	2523.jpg	The main subjects are two animated characters from a cartoon series, primarily the coyote and the roadrunner. The coyote is prominently holding a large plank with text, displaying exaggerated fear. The roadrunner appears unfazed and is positioned nearby. Visually, the background is vibrant with a red and orange gradient, indicating a dramatic or intense atmosphere. The lighting emphasizes the stark expression and stance of the coyote, while casting a whimsical aura over the roadrunner.The overall scene context is comical and highlights a sense of alarm or urgency, as suggested by the prominent text on the plank which humorously underscores a serious issue referenced in the accompanying text.
2523	negative	2523.jpg	The image is a screenshot from a YouTube video titled "Crazy Canadian Credit Confronts Crude, Eh?" by Vikram Mansharmani, labeled as an Advisor, Academic, and Author. The date of the video is March 19, 2015, with 8,358 views, 105 likes, and 24 comments. The cover features an illustration of the cartoon characters Wile E. Coyote and the Road Runner. Wile E. Coyote is holding a sign that reads "Wile E. Coyote's Gravity Lessons," and the Road Runner is running away from him, seemingly escaping the gravity lesson. The background is a vibrant mix of pink, orange, and yellow hues. The accompanying text describes an unprecedented housing boom in Canada and discusses its potential impact on the economy, concluding that Canada is among the most vulnerable large economies in the world.
2523	negative	2523.jpg	The visual characteristics of the image include warm colors like reds, oranges, and yellows, creating a vibrant and intense atmosphere. The lighting seems to suggest a sunset or explosion scenario, contributing to a sense of urgency or alarm. The composition centers around a cartoon coyote holding a sign with distressed and exaggerated facial expressions, hinting at chaos or confusion. A bird appears to be falling or in distress nearby, adding to the chaotic scene. The sign reads "Gravity Lessons," further emphasizing a theme of impending disaster. The background is filled with abstract shapes and dynamic lines, suggesting movement or instability. The overall visual elements combine to evoke a sense of tension and negative sentiment.
2523	negative	2523.jpg	The image features a YouTube video titled "Crazy Canadian Credit Confronts Crude, Eh?" by Vikram Mansharmani, who describes himself as an advisor, academic, and author. The video was published on March 19, 2015, and has garnered 8,358 views, 105 likes, and 24 comments. The background includes a cartoon image of the classic "Looney Tunes" characters, Wile E. Coyote and Road Runner, with Wile E. Coyote holding a sign that reads "Wile E. Coyote's Gravity Lessons." The video discusses Canada's housing boom and its potential impact on the economy, suggesting that the country is now among the most vulnerable large economies in the world due to oscillations between housing exuberance and oil-price despair. The overall sentiment of the content is critical and cautionary, indicating a negative outlook on the Canadian economy's future.
2523	negative	2523.jpg	The image portrays a vibrant scene featuring two animated characters, a coyote and a woodpecker, under a sunset sky. The coyote, holding a sign that reads "Wile E. Coyote's Gravity Lessons," appears amused, while the woodpecker seems to be in mid-flight. The image is framed by a social media profile displaying the username Vikram Mansharamani, who is identified as an advisor, academic, and author. The article titled "Crazy Canadian Credit Confronts Crude, Eh?" dated March 19, 2015, has 8,358 views, 105 likes, and 24 comments, offering insights into Canada's housing market dynamics and economic outlook. The backdrop of rich colors adds to the lively and engaging nature of the scene.
2768	negative	2768.jpg	In the image, a person with short blonde hair and glasses is seen speaking into multiple microphones in front of a green background with the word "green" prominently displayed. The individual is wearing a white shirt under a dark suit jacket. Several out-of-focus individuals are visible behind the subject, along with various microphones and recording devices that suggest a press conference or media briefing setting. The atmosphere appears to be focused and professional, with the central figure seemingly addressing the media or delivering a statement.
2768	negative	2768.jpg	The image shows a woman speaking at a press conference, surrounded by microphones from various media outlets. She has blonde hair, glasses, and is dressed in a white shirt, appearing to address a crowd or press. The background includes a banner with the word "green," indicating the event may be related to an environmental or political topic.
