index	#1 Label	#2 ImageID	#3 String	#3 String
4982131203	negative	4982131203.jpg	The image shows a white bowl filled with green grapes. At the back of the bowl, two red apples are placed, partially covered by a large yellow banana that leans prominently into the bowl. The bowl is situated on a wooden surface, with a wooden backdrop featuring vertical paneling. The composition is simple, with a focus on the fresh fruit arranged in the bowl, suggesting a setup for a healthy snack or meal accompaniment. The fruits are fresh and appear ripe, likely emphasizing nutrition and freshness.	apple
14990117616	negative	14990117616.jpg	The image depicts a lively musicians' scene inside what appears to be a performance space or bar. A woman with long hair is singing passionately into a microphone, her expression suggesting she is deeply immersed in the performance. She is dressed in a patterned top. In the background, blurred figures indicate movement, likely other performers or musicians, contributing to the dynamic atmosphere of the setting. The lighting is dim, creating a moody and intimate ambiance typical of live music venues. The surroundings include musical instruments such as a drum set, suggesting a full band performance. The text "Simos Pub" is visible on the wall, implying the location might be a pub or similar establishment known for live music.	band
15469700740	negative	15469700740.jpg	A person wearing a black cap and a gray long-sleeved shirt plays an electric guitar in a room with a drum set in the background. The guitarist appears deeply focused on their instrument, strumming with concentration. Another individual is seated behind the drum set, slightly out of focus. The room is well-stocked with books arranged neatly on a shelf. There's a Marshall 5150 amplifier on a table near the guitarist, and some bottles are scattered around on the floor. The overall atmosphere suggests a rehearsal or casual jam session in a personal space, likely a home studio.	band
8370091141	negative	8370091141.jpg	In the image, two people are seen in a dimly lit room. The person on the left is playing an electric guitar while standing, wearing a dark long-sleeved shirt and glasses, and appears focused on playing the instrument. The person on the right is singing into a microphone while partially obscured by shadows, wearing a sleeveless shirt and appearing deeply engaged in the performance. The room they are in is adorned with various posters and pictures on the wall, suggesting a casual and creative atmosphere. There is also musical equipment like amplifiers and speakers present, indicating that this might be a practice or rehearsal space. Overall, the scene depicts a moment of musical performance or practice.	band
8548718927	negative	8548718927.jpg	In the image, two individuals are performing within a dilapidated room. The room has a deteriorated ceiling with large holes and peeled paint on the walls, giving it an abandoned and decrepit appearance. To the left, there is a stack of black speakers. One person is seated at a drum set positioned on a small raised platform. The other individual is standing on a suitcase, holding a camera or recording device, seemingly focused on capturing the performance. There is a window on the left side of the room, allowing natural light to enter, and another larger opening on the wall behind the performers. On the right side, there is additional audio equipment, including an amplifier and speakers. The overall atmosphere of the image suggests a performance in a rundown and neglected setting.	band
8658699928	negative	8658699928.jpg	The image portrays a band performing on stage. The central figure is a singer, holding a microphone, wearing a black shirt with a distinctive skull design. He has multiple tattoos on his arms. To his right, a guitarist in a blue shirt is immersed in playing his instrument, showing focus and intensity. Another band member, positioned slightly behind, is playing the drums, with visible energetic movements suggesting a dynamic performance. The lighting is vibrant, with purple hues casting a moody atmosphere over the scene. Additional members include a guitarist in a red plaid shirt, deeply engaged in playing his guitar, and another vocalist, possibly harmonizing with the lead singer. A sign in the background reads "bad owl!", adding an element of branding or band identity to the stage setup. The entire scene exudes a sense of high energy and raw musical expression.	band
13410117184	negative	13410117184.jpg	The image captures a scene of decay, depicting a bird's nest situated on the ground amidst dry leaves, small rocks, and sparse vegetation. The nest appears empty and damaged, with twisted twigs, feathers, and debris scattered around. The overall tone of the setting conveys a sense of abandonment and deterioration, suggesting the nest may have been deserted or destroyed, evoking feelings of loss and desolation. The earthy colors and blurred background enhance the somber atmosphere of the scene.	bird
3629813299	negative	3629813299.jpg	The image shows a small bird lying on its side on a cracked sidewalk, appearing to be in distress or possibly deceased. The bird is positioned near the edge of the sidewalk, close to a curb. It is facing sideways, with its head turned towards the ground. The surrounding pavement is uneven, and there are visible cracks in the concrete. The scene conveys a sense of sadness, emphasizing the unfortunate state of the bird.	bird
4227095059	negative	4227095059.jpg	In the image, a damaged pigeon lies on the ground near the front of a white car, which appears to have run it over. The car's license plate is visible, and the bird's wings are broken, suggesting it was injured during the collision. The scene depicts a sense of sadness and distress, highlighting an unfortunate and potentially tragic event.	bird
497970882	negative	497970882.jpg	The image shows a deceased bird lying on a sandy surface, its feathers partially ruffled and covered in what looks like blood and debris, suggesting it may have been injured or attacked. The bird's body appears desiccated, with its wings slightly spread and its beak slightly open. The sand around the bird is dry, with a few small darker spots scattered across it, likely remnants from the bird. The overall scene conveys a sense of desolation and tragedy.	bird
