index	#1 Label	#2 ImageID	#3 String	#3 String
248	negative	248.jpg	The image shows a coach with short blonde hair, wearing a black jacket with a white logo, gesturing and looking frustrated, possibly during a sports event. There are blurred spectators in the background, and another person wearing a red cap with the letters "MP" is partially visible.
250	negative	250.jpg	The image shows a spill on a tiled floor with a wet mark spreading outwards, accompanied by an orange caution cone marked with Chinese characters and icons indicating a wet floor. In the background, there are some chairs and a counter, suggesting this might be a public area like a cafe or restaurant.
1520	negative	1520.jpg	The image depicts a cluttered shelf filled with a variety of science fiction and fantasy books, with some books stacked haphazardly and others leaning against each other. The scene suggests a cozy, yet disorganized space, likely belonging to a dedicated reader or collector of genre fiction. The lighting is warm, giving the room a nostalgic and inviting vibe.
2158	negative	2158.jpg	The image features a man in a suit, seemingly shouting with his hands outstretched, and clouds around him, suggesting frustration or anger. To the right is a bright red cover with the title "3 New Secrets to Handling Anger" by Courtenay Gueda, indicating a focus on managing emotional responses. The design implies a promotional message for managing anger and includes branding forAFFINITY relationship coaching.
2334	negative	2334.jpg	Two individuals are sitting in a luxurious airplane cabin, both wearing red polo shirts with the Arsenal Football Club logo and the Emirates airline branding. They appear to be in a first-class section, with spacious seating and wood paneling. One person is holding a tablet while the other has a watch on their wrist, suggesting they might be athletes or celebrities traveling together.
2585	negative	2585.jpg	The image shows a victory screen from a game with the text "TUNA VS EGE VICTORY" displayed prominently in the center. The right side of the screen shows a record of 1 win, 0 losses, and a 1-week streak. The background has a dotted pattern, and there are icons for returning and social sharing at the top and bottom corners.
3224	negative	3224.jpg	The image shows a close-up view of a tiled floor with a stone-like texture. The tiles have a light beige or cream color with subtle gray veining. The grout lines are slightly visible, accentuating the natural pattern of the tiles.
3513	negative	3513.jpg	The image shows a collage with two photos of a black BMW SUV, one from the rear and the other from the front, with lights turned on. Below the images, text reads, "July 11 - Selena Gomez & friends visiting Orlando Bloom at his house in Malibu," suggesting a visit between these individuals and their location in Malibu.
4596	negative	4596.jpg	The image shows a black tote bag featuring a graphic of a caged blue cat with a grumpy expression. The design depicts the cat behind metal bars, suggesting a humorous take on being trapped or feeling restricted. The overall scene conveys a playful yet slightly negative sentiment, indicated by the cat's displeased look.
4826	negative	4826.jpg	The image contains a story about a man named Bryan Anderson who comes across an old lady stranded on the side of the road while driving his car, which had a sputtering engine. Despite the poor lighting, he helps her by offering warmth and comfort, emphasizing his concern and empathy for her situation.
4884	negative	4884.jpg	The image shows a green sign placed on a patch of bare earth with sparse patches of grass. The sign reads, "PLEASE DO NOT WALK ON GRASS," indicating a request to preserve the grass area. The surrounding environment appears to be a roadside or a pathway, with pavement visible in the background.
5112	negative	5112.jpg	The image shows a cluster of intertwined snakes, likely cobras, with their bodies coiled around each other. The snakes' scales are visible, and there appears to be some red coloration, possibly indicating a recent interaction or injury. The scene gives a sense of tension or danger due to the nature of the animals.
26	neutral	26.jpg	The image shows a snowy industrial or commercial area under a clear blue sky. Visible are several large cylindrical storage tanks and tall metal structures, possibly related to processing or manufacturing facilities. Snow covers the ground and is settled on some evergreen trees, while a few bare deciduous trees stand in the foreground.
511	neutral	511.jpg	Inside a store, three individuals dressed in white and black stormtrooper costumes from Star Wars are bending over to look at a small droid on the floor. The store shelves are stocked with various toys and items, including colorful packages on the left and a claw machine on the right featuring cow illustrations.
516	neutral	516.jpg	The image shows a basketball arena with spectators seated throughout, mostly wearing blue. The court is clear except for a few people walking around, and there are bright lights illuminating the area from the ceiling. A scoreboard and multiple screens display game-related information and live footage at the top of the arena.
648	neutral	648.jpg	The image features the logo for "Elivar," a brand offering optimized sports nutrition for endurance athletes over 35. It also displays the "220 Triathlon Awards 2015" text and showcases four products from Elivar: Endure, Recover, Hydrate Plus, and Evote.
1089	neutral	1089.jpg	The image shows an underwater scene with a submerged statue of a figure holding a fish. The text overlay critiques a decision about being in a Hall of Fame, referencing someone named Pete Rose and questioning their qualifications for recognition. The background is composed of a bed of smooth rocks, enhancing the underwater ambiance.
2005	neutral	2005.jpg	The image depicts a humorous meme with a person in a military uniform and another in a black uniform having an intense conversation. The text above reads "WHERE ARE YOU HIDING" and below says "THE CHOCOLATE BAR?" The overall tone is playful, suggesting a comedic situation.
2095	neutral	2095.jpg	The image shows a rectangular, electronic projector device with a mesh screen facing forward. It is predominantly pink on one side with a light gray cover. A power cable extends from the back of the device, suggesting it is ready for use.
2720	neutral	2720.jpg	The image features a small statue of Buddha sitting in a meditative pose against a blurred background. In front of the statue, there is a quote that reads: "We are what we think. All that we are arises with our thoughts. With our thoughts, we make the world. -Buddha." The quote is centered below the statue, providing a contemplative message.
2784	neutral	2784.jpg	The image shows a white toilet designed for enhanced accessibility, featuring lifts on the sides to assist with sitting and standing. The text labels indicate that the toilet arms help with ease of sitting and standing, and there is additional space of 5 inches for accessibility. The toilet is positioned against a neutral-colored wall with a light wooden floor.
3807	neutral	3807.jpg	Two individuals are seated on chairs outside near a large pile of snow, with one person dressed in a black shirt and the other in a plaid shirt. The backdrop features a brick building and a few small flames visible at the top of the snow pile.
4091	neutral	4091.jpg	The image displays a set of black car seat covers with red accents featuring a prominent "H" design on the headrests and seats. Additional components include seat cushions, belts, and a red loop, all designed to complement the main seat covers for a cohesive look.
