index	#1 Label	#2 ImageID	#3 String	#3 String
141	0	73093.jpg	The image shows a police car that has apparently been overturned, lying askew on the road with its wheels in the air. Bright yellow police tape marked with "POLICE LINE: DO NOT CROSS" is stretched across the scene, creating a sense of restricted access and urgency. The background features a building with "GRILL" written on it, but the focus remains on the chaotic and dangerous situation in the foreground.The overturned police car and the heavy presence of police tape evoke a sense of disorder and alertness. It suggests something went terribly wrong, contributing to feelings of anxiety and concern. The scene appears tense, with the overturned vehicle implying a recent event of significance, possibly an accident or confrontation, leaving a lasting impression of unease. The overall atmosphere is one of disarray and potential danger, amplifying the negative sentiment conveyed by the image.	CPD
152	0	41899.jpg	The image depicts a group of four people standing on a grassy area, with one of them speaking into a microphone. The setting appears to be outdoors, with a green, wooded background, suggesting a peaceful natural environment. However, the mood conveyed in the image leans towards a negative sentiment for several reasons.Firstly, the body language of the individuals suggests a sense of discomfort or disinterest. The young man on the left has his arms crossed and is looking away, which can be interpreted as a sign of defensiveness or disengagement. The woman next to him also appears somewhat detached, with her hands clasped in front of her and a neutral or slightly displeased facial expression.The older man in the middle, who is speaking into the microphone, has his arms crossed, a posture often associated with closed-off or unapproachable behavior. His facial expression is serious, which might indicate that the topic being discussed is of a serious or contentious nature. The final person on the right stands with a hand on their hip, another posture that can suggest impatience or irritation.Additionally, the overall shadowy lighting and the somewhat sparse grass area contribute to a feeling of isolation or austerity. The serious expressions and closed-off postures of the individuals, coupled with the seemingly barren setting, create an atmosphere that feels tense or uncomfortable.Thus, the combination of body language, facial expressions, and the setting all contribute to a mood of negativity in the image.	ISIS
312	0	14478.jpg	The image captures a scene from a public event with a large screen displaying a woman who appears to have a serious or possibly displeased expression. The lighting emphasizes the contrast, highlighting her face against a muted background. In the foreground, two individuals are seated on stage; one is positioned behind a podium, while the other sits on a chair. The audience, though out of focus, suggests an attentive presence, creating a formal and somewhat tense atmosphere. The repeated "BTIME ACT" banners add an official tone to the setting, hinting at a structured and possibly formal agenda, contributing to the overall mood of seriousness and formality. The emotional cues in the woman’s expression and the formal setting together convey a sense of solemnity or negativity.	AngelinaJolie
1091	0	1931560.jpg	The image depicts a humorous scene involving a group of individuals, each labeled with various well-known footballers’ names. The focal point is a person labeled as "Messi" who is digging in a hole, while others stand around observing or engaging in related activities. The emotional cues and atmosphere seem to have a light-hearted and playful tone, but the labels hint at a parody or joke, potentially at the expense of Messi’s reputation or circumstances. This clever use of parody and the situational irony of having a renowned football star in a mundane, perhaps unflattering situation, evoke a mood of amusement tinged with sarcasm, contributing to the negative sentiment as it implies a form of mockery or jest. The communal gathering, along with tools and manual labor, amplifies this humorous undertone by juxtaposing high-profile figures with everyday, somewhat tedious tasks.	Argentina
1423	0	528640.jpg	The image depicts an industrial construction site with a largely unfinished, skeletal structure of what appears to be a building or factory in the background. The skeletal framework is exposed, with numerous beams and columns, and the absence of walls and windows contribute to a sense of incompleteness and abandonment. The site is enclosed by a chain-link fence, suggesting restricted access and possibly neglect. The surrounding area looks cluttered with various debris, materials, and construction equipment scattered haphazardly, adding to the chaotic and disorganized feeling. The overall atmosphere is one of neglect and lack of progress, conveying a sense of frustration, stagnation, and potential decline. The bright daylight contrasts sharply with the bleak and unfinished nature of the site, enhancing the feeling of desolation and disappointment. The visual cues combine to evoke a negative sentiment, highlighting themes of failure, stagnation, and unfulfilled potential.	San Juan
1553	0	420735.jpg	The image depicts a street scene cordoned off with yellow police tape, creating a sense of restriction and urgency. A uniformed officer stands in the foreground, seemingly vigilant and prepared, suggesting an active situation requiring police presence. Several police vehicles and a mobile command unit are parked along the road, indicating a significant law enforcement response. The presence of yellow tape and the organized setup of vehicles add to the atmosphere of tension and concern. The overall mood is one of seriousness and potential danger, contributing to a negative emotional tone.	Glendale
1610	0	1482680.jpg	The image shows a dog lying disinterestedly on a bed next to a toy, with another dog standing awkwardly on the bed, partially missing its support, which adds an uncomfortable tone. The window blinds are shut, giving a sense of confinement or isolation. The cluttered environment with a fan and unrelated items like the cat tree makes the space feel cramped and messy. The overall mood feels stagnant and lacking energy due to the closed blinds and the disarray, contributing to a negative, possibly melancholic atmosphere.	Bailey
1650	0	74601.jpg	The image shows two individuals against a backdrop filled with logos and text announcing an event from September 2015. The person on the left is wearing a white t-shirt with some text and a cap, with their mouth open as if they are speaking in a way that appears somewhat intense or confrontational. Their facial expression could suggest frustration or anger.The person on the right has a playful expression, with one hand touching their temple. However, the overall mood seems slightly subdued or awkward due to the interaction between the two people. The close positioning and differing expressions suggest a moment of tension or disagreement, contributing to a negative sentiment in the atmosphere of the image. The background, with its event-related details, adds context but does not detract from the perceived negativity between the individuals.	Jaden Christ
1746	0	37887.jpg	The image depicts a somber and serious atmosphere, contributing to its negative sentiment through several emotional cues and contextual details. The central figure, a woman with long dark hair, is dressed in a black coat and appears to be in distress. She is covering her face with her hands, a gesture often associated with sadness or despair. Her posture is hunched, further indicating a sense of dejection or overwhelming emotion.To her left and right are two other women, both wearing black coats and lanyards with badges, suggesting they might be in a professional or institutional setting. The woman on the left seems to be offering support by holding the central figure's arm, while the woman on the right is holding the other arm, attempting to provide comfort or stability. Their expressions, though not entirely visible, appear concerned and empathetic, adding to the overall sense of seriousness and support in a challenging situation.The background is dimly lit, with a muted color palette that enhances the solemn mood of the scene. The overall composition and body language of the individuals strongly convey a sense of tragedy, loss, or a significant emotional struggle, contributing to the negative sentiment of the image.	Korean Airlines
1924	0	421086.jpg	The image depicts a busy highway during a heavy downpour, with vehicles navigating through the wet and potentially treacherous road conditions. The gray, overcast sky and the ongoing rain create a gloomy and bleak atmosphere, adding a sense of frustration and monotony. The congestion seen in the lanes filled with cars suggests a struggle and impatience among drivers, emphasizing the negative sentiment of being stuck and dealing with the elements. The overall mood is one of tension and discomfort, as the weather appears to be worsening, making the driving conditions even more challenging and stressful.	75th Ave
2320	0	1703971.jpg	The image consists of four separate shots portraying two individuals in various states of distress and urgency. The overall mood is tense and confrontational, contributing to a negative sentiment.In the top left, a person is shown with their hand on their head, looking down with a troubled expression. This gesture and frown suggest stress or confusion. The top right segment shows a close-up of another person who appears to be speaking intently, with furrowed brows and a focused gaze, indicating concern or determination.The bottom left captures a person looking sideways with a cautious and wary expression, possibly reflecting fear or alertness. In the bottom right, another individual is speaking with a serious and slightly anxious facial expression, their eyes closed, which may convey intensity or frustration.Text overlays in each frame, such as "There's a stop sign half a mile ahead," "So I take out the threes with my claws?" and "Teeth, claws, heat vision, whatever!" add to the urgency and confrontational atmosphere, suggesting a sense of impending action or danger. The combination of these visual and textual elements creates an emotionally charged scene filled with tension and apprehension.	Garrett
