index	#1 Label	#2 ImageID	#3 String	#3 String
141	0	73093.jpg	The image captures a scene where a police car has been overturned on a street, surrounded by yellow police tape that reads "POLICE LINE DO NOT CROSS." The location is an urban area with storefronts visible in the background, including a restaurant called "TOMO GRILL." The car, which is prominently marked with "CHICAGO" and "POLICE," is lying on its side with its wheels facing the air. The surrounding area appears cordoned off, indicating an active police investigation. The overall atmosphere suggests a sense of emergency and disruption.	CPD
152	0	41899.jpg	In the image, four individuals stand together outdoors in a lush green area with dense trees in the background, suggesting a park or natural setting. The ground is covered with grass and patches of dirt. A microphone setup on a stand is positioned to the right of the group, suggesting a possible announcement or presentation is about to take place or is in progress.The group consists of two younger individuals and two older ones. The younger person on the left wears a white T-shirt with a graphic print and blue jeans. Next to them, a woman dressed in a black top and patterned skirt stands with her hands clasped in front. The older man, positioned third, wears a blue striped shirt and dark pants, with his arms crossed. Beside him, another older individual is dressed in a light-colored shirt and khaki pants, holding a pair of sunglasses. The absence of any apparent smiles or engaged body language might suggest a formal or serious occasion, aligning with the label of negative sentiment. The overall atmosphere seems calm and attentive, focused on the microphone setup.	ISIS
312	0	14478.jpg	The image shows a large stage set up for an event, with a screen prominently displaying a speaker at the front. The screen features a person dressed in a black blazer and a light-colored top, speaking or possibly presenting. In the foreground, there are two individuals seated – one is sitting on a red chair looking at a desk, and the other is standing behind a podium, likely addressing the audience. The background screen is part of a stage setup with a red and yellow color scheme, and the words "TIME ACT" are repeated on the side of the backdrop. There are also some logos visible on the lower left corner, suggesting this could be a conference or award ceremony. The audience is seated in front of the stage, with their silhouettes visible, indicating engagement with the event.	AngelinaJolie
1091	0	1931560.jpg	The image depicts a group of people, presumably fans or players, gathered around a construction site. They are dressed in blue uniforms or casual attire, suggesting a sports-related context, potentially an Argentine football team given the presence of well-known player names like Messi, Di Maria, Higuaín, and others labeled on the individuals. One person is kneeling inside a freshly dug hole while others stand or sit around observing. The names labeled on the image appear to be those of famous footballers, which implies that this could be a humorous or satirical setup. The watermark "@FootyHumour" further suggests that the image is intended as a joke or light-hearted commentary on football culture.	Argentina
1423	0	528640.jpg	The image shows a large industrial construction site with the skeletal structure of a building under construction. The site is enclosed by a metal chain-link fence, indicating restricted access, and appears somewhat disorganized in the foreground with various materials and equipment scattered around. Visible elements include stacks of construction materials such as pipes, possibly steel rebar, and wooden pallets. The construction itself features several levels of metal beams and supports, suggesting a sizable infrastructure project in progress. The overall atmosphere of the site conveys a sense of unfinished development and the typical hustle and bustle associated with active construction zones.	San Juan
1553	0	420735.jpg	The image shows a street scene that has been cordoned off with yellow police tape that reads "CRIME SCENE DO NOT CROSS." Several police vehicles, including SUVs and a van marked "LOS ANGELES POLICE," are parked along the street. A police officer stands in the foreground, wearing a uniform and equipment typically used by law enforcement officers. He is positioned on the sidewalk, keeping watch over the area. In the background, a no parking sign is visible, along with some trees and a lamp post. The setting appears to be a residential or suburban area with mountains visible in the distance. The scene suggests an active investigation taking place at this location.	Glendale
1610	0	1482680.jpg	In a cozy bedroom with beige walls and wooden blinds covering a window, two dogs are enjoying time on a messy bed with white bedding. One dog, a small brown breed, is lying comfortably while chewing on a toy, appearing relaxed and content. The other, a white dog with brown markings, is playfully pawing at the first dog, showing curiosity and energy. Beside the bed, a large white fan sits on a nightstand, suggesting a need for cooling in the room. A blue pet bed and some pet accessories are visible nearby, indicating that this space is well-suited for the pets' comfort and playtime. The scene exudes warmth, companionship, and a sense of domestic tranquility.	Bailey
1650	0	74601.jpg	The image shows two individuals standing in front of a promotional backdrop. The backdrop features logos and Arabic text, indicating a possible event or campaign, with the date "22-Sept-2015." One person is wearing a white T-shirt with text in Arabic and a black cap, having dreadlocks, and appears to be speaking or singing. The other person is wearing a black and white checkered shirt and a colorful headband with rainbow stripes, and they are playfully looking at the first person. Both are smiling, creating a friendly and lighthearted atmosphere. The hashtag "#M" is partially visible on the backdrop. The overall mood of the scene is casual and engaging.	Jaden Christ
1746	0	37887.jpg	The image shows three women standing together, walking through a doorway or entrance. The woman in the middle is dressed in a black double-breasted coat and appears to have a distressed or downcast expression, with her head bowed and hands clasped together in front of her. The two women on either side are dressed in black coats, also wearing lanyards with ID cards around their necks. They seem to be supporting the central woman by holding her arms gently. The mood in the image feels somber and serious, suggesting a moment of empathy or concern among the group. The setting appears to be indoors, possibly in a professional or institutional environment.	Korean Airlines
1924	0	421086.jpg	The image captures a busy highway during a heavy rainstorm. Visibility is low due to the mist and rain, making the roads appear slick and dangerous. Traffic is congested, with numerous cars and trucks visible, some forming lines as they navigate the wet conditions. Flashing headlights and taillights add to the chaotic scene, highlighting the density of vehicles on the road. The highway has multiple lanes in both directions, with some cars moving slowly while others are stationary. Overhead, signs and streetlights are faintly visible through the rain, and dense greenery lines the sides of the road. The timestamp on the image indicates it was taken on August 27, 2015, at 15:56:18, showing that the traffic issues likely stem from the inclement weather. The overall mood conveyed by the image suggests frustration and delay, reflecting the challenges drivers face during such adverse weather conditions.	75th Ave
