index	#1 Label	#2 ImageID	#3 String	#3 String
248	negative	248.jpg	In the image, there is a man in a black jacket with a hood, standing outdoors with his arms extended as if he is giving instructions or demonstrating something. He has a focused or intense expression on his face, which might indicate that he is concentrating on a task or reacting to an event happening around him. The background shows a blurred crowd of people, suggesting that this scene might be taking place in a public place or event, possibly a sports match. The overall ambiance is dynamic, with the man appearing to be actively engaged in something important.
250	negative	250.jpg	The image shows a wet floor inside a building, likely a store or a commercial space. There is a noticeable puddle extending across the floor, which indicates a spill or leak. An orange traffic cone with the text 'Wet Floor' is placed nearby to warn people about the hazardous condition. However, the cone appears to be knocked over or placed haphazardly, which might reduce its effectiveness in alerting passersby. The shiny, reflective surface of the wet area suggests that the floor is particularly slick, increasing the risk of slipping accidents. The background shows part of the store’s interior, including some furniture and a display area, but the primary focus remains on the wet floor and the misplaced caution cone. This scene evokes concerns about safety and cleanliness, highlighting a potentially dangerous situation that needs addressing promptly.
1520	negative	1520.jpg	This image shows a densely packed bookshelf filled with a variety of books in different sizes, colors, and orientations. The books are stacked in an unorganized manner, some leaning against each other or piled on top of each other, creating a somewhat chaotic appearance. The color palette is dominated by the various shades of the book covers, ranging from dark blues and blacks to lighter hues like whites and reds. The lighting creates soft shadows, highlighting the cluttered and somewhat neglected state of the bookshelf. The scene suggests a space that is heavily used but possibly lacking in organization or maintenance.
2158	negative	2158.jpg	The image appears to be a creative or promotional advertisement for handling anger. On the left side, there’s a man dressed in a formal black suit and tie, standing with a surprised or shocked expression. He has his hands outstretched, as if startled or frustrated, with a smoky or cloudy background behind him. At the top left corner, there is a logo and text for "AFFINITY relationship coaching."On the right side, there is a striking red design with bold, capitalized text that reads "3 New SECRETS TO HANDLING ANGER." Below this main title is a smaller italicized text "from Courtenay Guetta," indicating the featured person or expert associated with the content. The design resembles a retro or classic advertisement style, aiming to grab attention with its bold colors and typography. The overall image suggests a theme of offering advice or strategies for managing anger, possibly through the mentioned coaching service and featuring a guest or expert named Courtenay Guetta.
2334	negative	2334.jpg	Two people are sitting together inside an airplane, both wearing red sports shirts with logos. They appear to be in a business class cabin, given the spacious seating and luxurious features like large windows and wood-paneled interiors. One person is holding a smartphone while both are smiling as they look towards the camera, suggesting a positive moment. The setting is a part of an airplane journey, possibly related to a sports event or trip. The image conveys a comfortable and enjoyable travel experience.
2585	negative	2585.jpg	The image is a screenshot from a game displaying the end of a match with the word "VICTORY" prominently shown in large white letters on a green background. This indicates that the player won the match. The game involved two players, identified as "TUNA" and "EGE," and the score at the top shows "1" win for Tuna against "0" losses, with a "1W" streak indicating the current winning streak. There are buttons on the screen, one likely for going back to the previous menu and another for holding to rematch immediately after the game ends. A Twitter icon is visible in the lower right corner, suggesting that sharing the victory could be an option. The rest of the background is dark with small dots, and there are minimalistic icons in the lower part of the screen, possibly indicating various game functions or settings.
3224	negative	3224.jpg	The image shows a close-up view of a tiled floor, which appears to be made of marble or a similar stone material. The tiles are off-white or light beige with gray veining patterns running throughout. One of the tiles has a noticeable crack or line running through it, suggesting wear or damage. The overall appearance suggests that the floor might be in a somewhat neglected or older condition, possibly indicating a lack of maintenance or care.
3513	negative	3513.jpg	The image shows two photos of a black BMW SUV parked on a driveway. The car has tinted windows, and it appears to be parked in front of a residential house. The left photo shows the rear view of the vehicle with the taillights illuminated, while the right photo shows the front view with the headlights on, capturing a glimpse of two people inside. Below the photos is a caption that reads "July 11 - Selena Gomez & friends visiting Orlando Bloom at his house in Malibu." The setting suggests that this is a celebrity visit, indicated by the mention of well-known individuals in the caption. The context implies a social or friendly gathering at a private residence.
4596	negative	4596.jpg	The image depicts a black to-go bag with a handle and two shoulder straps. Printed on the front of the bag is a design featuring a stylized figure behind bars. The figure is blue with an unhappy or frustrated facial expression. The bars have small blue dots where the horizontal bars intersect with the vertical ones. The overall aesthetic suggests a humorous or ironic take on being trapped or confined, which might relate to the label of "negative sentiment" by conveying feelings of frustration or restriction. The design is simple yet conveys a clear message through its use of color and imagery.
4826	negative	4826.jpg	This image contains a text describing a heartwarming story. It narrates how a man named Bryan Anderson saw an old lady stranded on the side of the road while driving his car, a Mercedes he had gotten from his Pontiac. Approaching her under dim daylight, he noticed her vehicle was still having issues. Despite his own apparent poverty and hunger, he appeared friendly and reassuring. The lady, feeling frightened and cold, was unsure if anyone would help her. The man assured her of his presence to assist and invited her to wait in his warm car. The story reflects an act of kindness and compassion in a seemingly hostile situation.
4884	negative	4884.jpg	The image shows a green sign with bold white text that reads "PLEASE DO NOT WALK ON GRASS." The sign is placed on a patch of ground that appears mostly dirt with a small amount of grass. The area around the sign is partly paved with concrete or asphalt, suggesting it might be a park or a common outdoor space where foot traffic is managed. The sign is intended to remind people to avoid walking on the grass to preserve it, likely indicating a concern for maintaining the area's natural appearance and preventing damage to the vegetation. Despite the clear instructions, the sparse grass visible in the dirt hints that the message might not always be heeded.
