index	#1 Label	#2 ImageID	#3 String	#3 String
141	0	73093.jpg	The image depicts a scene involving a police car that appears to have overturned. The police vehicle is white with blue striping and markings indicating it belongs to the "Chesterfield Police" department, with the number "948" visible on the side. The car is lying on its side with headlights still flashing. Yellow police tape labeled "POLICE LINE DO NOT CROSS" is stretched prominently across the scene, cordoning off the area. Behind the overturned car, there is a red-brick building with multiple windows, suggesting an urban setting. To the left, a building with a sign that reads "TWO GRILL" is partially visible. The atmosphere suggests a serious incident requiring police attention, as indicated by the presence of the police tape and the crashed vehicle. The setting appears to be a street or intersection with a street lamp visible to the right side of the image. The overall scene conveys a sense of urgency and disruption.	CPD
152	0	41899.jpg	In the image, four people are standing outdoors in a grassy area with a backdrop of dense trees. From left to right, the first person is a young adult with red hair, wearing a white t-shirt and jeans. Next to them is a young adult with long brown hair, dressed in a black top and a patterned white skirt. The third individual is an older man with short gray hair, clad in a blue checkered shirt and dark pants. The fourth person is an older woman with short blonde hair, wearing a white blouse and beige pants. They all appear to be standing close to a microphone stand, with the older man’s arms crossed and the others standing with relaxed postures. The setting is sunny with patches of shadows on the ground, indicating a likely clear day. The ground appears to be uneven with a mix of grass and dirt, and there are some small orange markers partially visible in the background. The overall atmosphere of the image is casual and observational.	ISIS
312	0	14478.jpg	The image shows a stage setting with a large screen displaying a close-up of a woman’s face. The woman on the screen has dark hair pulled back, is wearing a black outfit with a light-colored blouse, and appears to be speaking. Below the screen, a stage has two individuals present. One person is seated on a red chair to the left, dressed in a dark suit and tie, with their legs crossed and hands clasped. To the right, another person stands behind a podium with a logo, wearing a black outfit and addressing the audience. The stage background is illuminated with warm colors, predominantly orange and red, and the text "AT TIME Act" is repeated across the back. The audience is visible in the foreground as silhouettes, suggesting that the event is being held in a large venue with significant lighting focused on the stage area. The overall atmosphere seems formal and professional.	AngelinaJolie
1091	0	1931560.jpg	The image depicts a group of people engaged in an outdoor activity, seemingly a playful or humorous scene, given the labels on some individuals. There is a person kneeling in a blue jacket in a large hole in the ground with the name "Messi" labeled on the image, suggesting a humorous comparison. Surrounding this person are several others standing and sitting in casual clothing, mainly in shades of blue and neutral colors. They appear to be watching or waiting for something to happen. The setting is a muddy and dug-up area with tools such as shovels visible, indicating ongoing digging or landscaping work. The overall atmosphere seems light-hearted and comical, as suggested by the playful labeling of the individuals, despite the rough terrain and labor-intensive activity. The text "@FootyHumour" is prominently displayed, reinforcing the humorous intent of the scene.	Argentina
1423	0	528640.jpg	The image depicts an industrial construction site, likely a skeletal frame of a large building or structure under construction. The foreground is partially obstructed by a chain-link fence, with visible vertical metal poles supporting the fence. Within the fenced area, various construction materials such as wood planks, metal sheets, and large coils of reinforcement steel can be seen. There is scattered debris on the ground, indicating ongoing work and activity. The background shows a partially completed framework of the building, featuring a network of steel beams and girders. The entire scene is industrial and somewhat bare, dominated by shades of grey, brown, and rust, with patches of blue tarpaulin and bright orange safety elements standing out against the muted tones. The area appears deserted, with no workers visible, suggesting a moment of inactivity or a pause in construction work.	San Juan
1553	0	420735.jpg	The image depicts a street scene cordoned off with yellow police tape reading "CRIME SCENE DO NOT CROSS" in black letters. A uniformed police officer stands in the foreground, facing left and positioned at an angle. The officer is wearing a black uniform with badges and a radio device attached to the shoulder. Behind the officer, multiple police vehicles, including a white armored transport vehicle and several cars, are parked along the street. The setting appears to be a residential area, as indicated by the lush green trees lining the sidewalk and the presence of landscaped plants and shrubs at the roadside. A "No Parking" sign is visible to the right of the image, with additional information "Unless Permitted by Signs" underneath. The atmosphere suggests a serious or potentially distressing situation, as indicated by the police presence and the crime scene tape. The sky is overcast, and the overall lighting is soft, contributing to a somber atmosphere.	Glendale
1610	0	1482680.jpg	The image depicts a bedroom setting with two dogs on an unmade bed. The bed has a white sheet that appears rumpled and disheveled. One dog is partially on the bed, standing on its hind legs and interacting with the other dog, which is lying down on the bed. There is a toy near the lying dog. To the right of the bed, a floor fan is visible, suggesting the room might be moderately warm. Near the fan, there's also a blue pet bed and a decorative item resembling a knotted tassel. The window behind the dogs has brown blinds, partially closed to allow limited natural light. The overall atmosphere appears somewhat untidy, contributing to the negative sentiment of the image.	Bailey
1650	0	74601.jpg	In the image, there are two individuals standing side by side against a backdrop with various logos and text. The person on the left is wearing a white T-shirt with Arabic script on it and a black baseball cap. They have dreadlocks and are speaking or singing with an open mouth. The person on the right is wearing a black and white checkered shirt and a colorful, rainbow-colored headband. They have short, curly hair and are smiling while looking towards the person on the left. The backdrop features logos and Arabic text with yellow and blue colors, and the hashtag "#Mo" is visible on the lower left side. The setting appears to be an indoor event, with a bright and lively atmosphere.	Jaden Christ
1746	0	37887.jpg	The image shows three women walking together in an indoor setting, possibly exiting or entering a building. They are all dressed in black coats, suggesting a professional or formal context. The woman in the center is visibly distressed, bending forward with her head bowed and hands clasped together, suggesting a sense of sadness or despair. The other two women are supporting her by holding her arms, indicating a sense of care and concern. All three are wearing lanyards with identification badges, which could imply they are colleagues or working together in a professional capacity. The background is dimly lit with a soft glow, drawing attention to the subjects. The overall atmosphere suggests a moment of solemnity or mourning.	Korean Airlines
1924	0	421086.jpg	The image shows a busy highway under heavy rain conditions, with a timestamp in the upper left corner reading "ADOT 0637 L-101 EB 75 AV 017.53 2015-08-27 15:56:18." The atmosphere is gloomy and grey due to the dense rain falling. The road surface is wet and reflects the headlights and taillights of numerous vehicles, indicating a slick and potentially hazardous driving environment. Traffic is moderately heavy, with cars and trucks visible on multiple lanes. The highway curves to the right, with some vehicles closer to the edge of the lane, while others maintain their positions further to the center. The greenery on the right side of the image is blurred slightly by the rain, and large puddles have formed on the road surface. Safety signs and street lights are scattered throughout, adding to the visual complexity and emphasizing the challenging driving conditions. The sky is overcast with no visible sunlight, contributing to the overall wet and dim ambiance of the scene.	75th Ave
