index	#1 Label	#2 ImageID	#3 String	#3 String
173	0	O_4436.jpg	The image shows an older woman with short, reddish-brown hair, wearing a black blazer and light blue shirt. Her arms are crossed, and she has a calm, confident expression while looking directly at the camera. The background appears out of focus, suggesting an outdoor or softly lit indoor setting.	Nancy Dow
179	0	O_1678.jpg	A person in a dark suit and a red tie is standing in front of a backdrop featuring a large American flag. The individual appears to be clapping and smiling.	Donald Trump
378	0	O_2793.jpg	The image contains a quote from Shi Yinhong, an international-relations expert at Beijing's Renmin University, expressing concern that U.S.-China relations would suffer major upheaval if a certain individual were to become president. The text is attributed to the Wall Street Journal, indicated by the 'WSJ' logo in the bottom right corner. The quote is in a formal layout against a white background.	Donald Trump
1041	0	O_4207.jpg	A woman is posing on a red carpet at an event, wearing a shiny, patterned two-piece outfit paired with high black platform sandals that have intricate straps. The background shows photographers and other attendees, capturing the glamorous atmosphere of the event.	Taylor Swift
1352	0	17_06_3234.jpg	The image shows a group of individuals, likely law enforcement officers and possibly administrators, walking together in a solemn manner. The background includes parked cars and trees, indicating an outdoor setting. The overall mood suggests a serious or potentially somber occasion.	GOP
1593	0	16_05_21_480.jpg	The image captures a large, densely packed crowd, likely at a public event or parade, reminiscent of an earlier historical era given the attire. In the foreground, individuals on horseback lead a procession, including a person on a white horse with a distinctive hat, surrounded by a marching band, adding a celebratory atmosphere to the scene.	MirrorFootball
1636	0	17_06_3537.jpg	The image captures a vibrant, celebratory scene with a man in a white shirt and jeans running through a crowd, surrounded by enthusiastic fans in blue shirts. The crowd is reaching out and cheering, creating an energetic and positive atmosphere.	Warriors
1695	0	16_05_01_818.jpg	In the image, a basketball player in a white uniform with "Lillard" on the back is dunking the ball, while another player stands nearby in a navy blue uniform with "Thompson" on the back. Spectators fill the arena, watching the action intently.	Thunder
1776	0	O_4772.jpg	A man in a dark suit and light-colored cap is standing in front of a black airplane with "TRUMP" written on it, waving his hand. He is surrounded by other individuals, including a woman in sunglasses and a gray outfit and a man in a black suit who appears to be speaking on a phone. Behind them is a white vehicle.	Donald Trump
1939	0	O_4046.jpg	Two individuals are seated closely together, appearing happy and relaxed. The person on the left is wearing a baseball cap with a prominent letter "T" and a colorful patterned jacket, while the person on the right is smiling and leaning towards the left. The background suggests they are in a social setting, possibly a public event or gathering.	Chris Brown
2401	0	O_1841.jpg	A man in a dark suit with a red tie is standing at a podium, speaking into a microphone and placing his hands over his ears. The background shows a crowd of people wearing cowboy hats, some of whom are smiling and watching the speaker. The scene appears to be set at an event with an American flag visible behind him.	Donald Trump
2642	0	O_239.jpg	The image features a person wearing a white T-shirt with a graphic design and a backward beanie, standing against a dark background. The person's hands are raised outward as if signaling to stop or express disbelief, and their facial expression appears to convey frustration or confusion.	Lil Wayne
256	1	O_333.jpg	The image shows Mark Rylance on stage holding an award at the BAFTA TV Awards. He is dressed in a black suit and hat, and is speaking into a microphone. There is a background with multiple BAFTA TV Awards logos and a humorous caption from The Sun Showbiz questioning Harry Styles' hairstyle.	Harry Styles
260	1	17_06_12654.jpg	A person wearing a cap and sunglasses is sitting and holding a smoke, pointing towards something while another person beside them is also holding a trophy. Both appear to be celebrating, possibly at an event or ceremony.	Oakland
725	1	16_05_09_383.jpg	The image shows a baseball player in a blue cap and white jersey holding a bat. The text on the right side reads "Playoffs Game Day vs Lutheran West," indicating an upcoming baseball game between the team and Lutheran West. The overall scene appears promotional, emphasizing the excitement of the playoff game.	Lutheran West
1166	1	O_3275.jpg	A man in the foreground is wearing a red hat with the words "MAKE AMERICA GREAT AGAIN" on it and holding a pen-like object to his ear. He is dressed in a dark suit with a white shirt and is surrounded by a crowd of people, some of whom are wearing red and holding signs, creating a political atmosphere.	Donald Trump
1403	1	O_5068.jpg	This image features two basketball players on an indoor court. The player on the left is wearing a black and red “Bulls 23” jersey and is making a gesture with his right hand raised to chest level. The player on the right is dressed in a white and orange “Thunders 35” jersey, with his hands clasped in front of him, surrounded by a crowd of spectators.	MJ
1671	1	O_4761.jpg	A person is standing on a red carpet at a formal event, wearing a burgundy strapless crop top and matching wide-legged pants, accessorized with a choker and a headband. The background is filled with photographers and other attendees capturing the moment, emphasizing the high-profile nature of the occasion.	MetGala
1739	1	O_2025.jpg	This image shows a black t-shirt featuring three printed portraits of rappers Chris Brown, Trey Songz, and Young Jeezy. The artists' names are displayed below each portrait in red text, adding a vibrant contrast to the design.	Trey Songz
2523	1	O_3498.jpg	Two individuals are holding bowling balls—one orange and one blue—while smiling at the camera. The person on the left has short dark hair and wears a white shirt, while the person on the right has lighter hair and wears a patterned blue shirt. They appear to be posing for a casual photo, likely at a bowling alley or a related event.	Tobey Maguire
2668	1	16_05_02_753.jpg	A soccer player in a blue uniform with the text "King Power" is running on the field, appearing focused and determined. The player is accompanied by another teammate in the background, and the stadium is filled with spectators.	West Ham
