index	#1 Label	#2 ImageID	#3 String
2523	negative	2523.jpg	The image is a screenshot from a YouTube video titled "Crazy Canadian Credit Confronts Crude, Eh?" by Vikram Mansharmani, labeled as an Advisor, Academic, and Author. The date of the video is March 19, 2015, with 8,358 views, 105 likes, and 24 comments. The cover features an illustration of the cartoon characters Wile E. Coyote and the Road Runner. Wile E. Coyote is holding a sign that reads "Wile E. Coyote's Gravity Lessons," and the Road Runner is running away from him, seemingly escaping the gravity lesson. The background is a vibrant mix of pink, orange, and yellow hues. The accompanying text describes an unprecedented housing boom in Canada and discusses its potential impact on the economy, concluding that Canada is among the most vulnerable large economies in the world.
2768	negative	2768.jpg	In the image, a woman with blonde hair and glasses is speaking into a cluster of microphones. She appears to be giving a press conference or a statement, as the microphones are directed toward her. The background features a green backdrop with the word "green" prominently displayed, likely indicating some kind of environmental or political context. The woman looks focused and is slightly caught off guard amid the press, suggesting a moment of intense media interaction. There is a man partially visible behind her, holding a piece of paper, which could imply he is part of the event or assisting her in the briefing. The scene conveys a sense of urgency and public engagement.
2799	negative	2799.jpg	The image depicts a protest march in front of a castle under a night sky with a full moon. The title "Global Warming Fraud" is prominently displayed at the top of the hill where the castle is situated. A large group of people is climbing the hill, holding various signs with messages such as "We Can't Afford Electricity! No More Fascism!", "Fuel poverty killing us", "No Climate Change, Normal", "Green Lies!", and "Climate Change is a Hoax!" The crowd appears determined and vocal, and one person in the foreground is raising their fist enthusiastically. At the bottom of the image, the text reads "The Climate Revolt Spreads". The scene suggests a demonstration against climate change policies or the concept of climate change itself.
3044	negative	3044.jpg	The image shows a bar chart titled "Federal Voter Participation, by Age," comparing voter participation rates for two age groups in the years 2006, 2008, and 2011. The age group of 65+ is represented by yellow bars, while the age group of 18-34 is represented by red bars. A dashed yellow line labeled "Linear 65+" and a dashed red line labeled "Linear 18-34" indicate the linear trend for each group across the years.The yellow bars show that voter participation for individuals aged 65 and older remains consistently high, around 70%, across all three years. The red bars show that voter participation for individuals aged 18-34 is consistently lower, around 40%, across the same period. The dashed lines suggest a slight downward trend in the linear projection for the 18-34 age group and a slight increase for the 65+ age group. The overall sentiment reflected in the chart suggests a higher voter turnout among older individuals compared to younger ones, indicating a generational gap in voter participation.
3054	negative	3054.jpg	The image depicts a character with pale, monstrous skin and glowing yellow eyes, wearing a dark hooded cloak. The character appears to be in a state of rage or intense emotion, as their mouth is wide open in a scream. The background suggests a dimly lit environment, adding to the ominous and terrifying atmosphere. The overall mood of the scene is menacing and evocative of horror or fantasy themes.
3072	negative	3072.jpg	The image features six men arranged in a two-by-three grid. Each man is looking directly at the camera with a neutral or serious facial expression. They are positioned against plain backgrounds, typical of ID photos or mugshots. The lighting is even, highlighting their faces clearly. No actions or interactions are taking place, as each individual appears stationary and straightforward in their pose. The overall mood conveyed by their expressions is somber or serious.
3271	negative	3271.jpg	The image features a split-screen with two different quotes against the backdrop of a person's face. On the left side, the quote reads "Give me ten years' time, and you will not recognize Germany anymore." Adolf Hitler, Jan. 29, 1933. The right side of the image displays another quote, "You won't recognize Canada when I'm through with it." Stephen Harper, June 24, 2013. The background of both quotes shows part of the person’s face, emphasizing the intensity of the statements. The overall theme of the image suggests a strong contrast in political predictions and intentions from two different historical figures.
3328	negative	3328.jpg	The image features a yellow-green background with a motivational quote in dark text. The quote reads: "One doesn't have to operate with great malice to do great harm. The absence of empathy and understanding are sufficient." Below the quote, the author's name, Charles M. Blow, is credited as a journalist. At the bottom right corner of the image, there is a small annotation that says "The Empathy Trap book page." The quote emphasizes the impact of lack of empathy rather than intentional harm.
3355	negative	3355.jpg	The image depicts a dense cluster of small brown mushrooms growing on a forest floor covered with wood chips and leaf litter. The mushrooms are concentrated in several patches, particularly in a circular arrangement. The surrounding area is shaded by green foliage, which partially obscures the sunlight, casting dappled shadows on the ground. There are no animals or humans present, and no visible interaction between different elements besides the natural growth of the mushrooms amidst the wood chips.
4921	negative	4921.jpg	The image shows a man standing on a wet city street, smiling and posing for the camera with his hand making an "okay" gesture. He is wearing an orange jacket, a grey shirt, and a red headband. Behind him, on the sidewalk, several people are standing and talking. Some individuals are holding umbrellas, suggesting it might be raining. There is a large orange sign or decorative structure on the left side of the street, with people milling around in the background. Tall buildings line the street, and the overcast sky adds to the damp ambiance. The scene appears lively with a mix of pedestrian activity and urban architecture.
7788	negative	7788.jpg	In the image, a young boy is seated on the floor in front of a brown leather couch. He has a friendly smile and is wearing an orange and gray basketball jersey with the letters "PHD" on the front. The boy is holding a black and white dog on his lap. The dog has a pink collar and is wearing a festive, shimmering gold sweater. They both appear relaxed and content in a cozy indoor setting, with light-colored flooring and a neutral-toned wall in the background.
8675	negative	8675.jpg	The image shows a promotional sticker for Five Seconds of Summer, a popular band, featuring their logo style with a glove adorned by stars. The band's name, "VTEF," is prominently displayed with a graffiti-like font. Below the logo, there is a hashtag: "#sheeskindahotvma," referring to a fan or tribute. The background resembles a brick wall, giving it an urban, street-art feel. There's also a small MTV logo in the bottom right corner. The overall design suggests a bold and rebellious vibe.
